Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
59,2/23/2023,6:44:06 PM,676,357.7777778
60,2/23/2023,6:44:07 PM,670,354.4444444
61,2/23/2023,6:44:08 PM,670,354.4444444
62,2/23/2023,6:44:09 PM,670,354.4444444
63,2/23/2023,6:44:10 PM,664,351.1111111
64,2/23/2023,6:44:11 PM,664,351.1111111
65,2/23/2023,6:44:12 PM,664,351.1111111
66,2/23/2023,6:44:13 PM,659,348.3333333
67,2/23/2023,6:44:14 PM,659,348.3333333
68,2/23/2023,6:44:15 PM,655,346.1111111
69,2/23/2023,6:44:16 PM,655,346.1111111
70,2/23/2023,6:44:17 PM,650,343.3333333
71,2/23/2023,6:44:18 PM,650,343.3333333
72,2/23/2023,6:44:19 PM,650,343.3333333
73,2/23/2023,6:44:20 PM,644,340
74,2/23/2023,6:44:21 PM,644,340
75,2/23/2023,6:44:22 PM,644,340
76,2/23/2023,6:44:23 PM,639,337.2222222
77,2/23/2023,6:44:24 PM,639,337.2222222
78,2/23/2023,6:44:25 PM,639,337.2222222
79,2/23/2023,6:44:26 PM,634,334.4444444
80,2/23/2023,6:44:27 PM,630,332.2222222
81,2/23/2023,6:44:28 PM,630,332.2222222
82,2/23/2023,6:44:29 PM,630,332.2222222
83,2/23/2023,6:44:30 PM,625,329.4444444
84,2/23/2023,6:44:31 PM,625,329.4444444
85,2/23/2023,6:44:32 PM,625,329.4444444
86,2/23/2023,6:44:33 PM,621,327.2222222
87,2/23/2023,6:44:34 PM,621,327.2222222
88,2/23/2023,6:44:35 PM,617,325
89,2/23/2023,6:44:36 PM,617,325
90,2/23/2023,6:44:37 PM,613,322.7777778
91,2/23/2023,6:44:38 PM,613,322.7777778
92,2/23/2023,6:44:39 PM,613,322.7777778
93,2/23/2023,6:44:40 PM,608,320
94,2/23/2023,6:44:41 PM,608,320
95,2/23/2023,6:44:42 PM,608,320
96,2/23/2023,6:44:43 PM,604,317.7777778
97,2/23/2023,6:44:44 PM,604,317.7777778
98,2/23/2023,6:44:45 PM,599,315
99,2/23/2023,6:44:46 PM,599,315
100,2/23/2023,6:44:47 PM,599,315
101,2/23/2023,6:44:48 PM,595,312.7777778
102,2/23/2023,6:44:49 PM,595,312.7777778
103,2/23/2023,6:44:50 PM,595,312.7777778
104,2/23/2023,6:44:51 PM,591,310.5555556
105,2/23/2023,6:44:52 PM,591,310.5555556
106,2/23/2023,6:44:53 PM,586,307.7777778
107,2/23/2023,6:44:54 PM,586,307.7777778
108,2/23/2023,6:44:55 PM,586,307.7777778
109,2/23/2023,6:44:56 PM,582,305.5555556
110,2/23/2023,6:44:57 PM,582,305.5555556
111,2/23/2023,6:44:58 PM,582,305.5555556
112,2/23/2023,6:44:59 PM,578,303.3333333
113,2/23/2023,6:45:00 PM,578,303.3333333
114,2/23/2023,6:45:01 PM,578,303.3333333
115,2/23/2023,6:45:02 PM,574,301.1111111
116,2/23/2023,6:45:03 PM,574,301.1111111
117,2/23/2023,6:45:04 PM,574,301.1111111
118,2/23/2023,6:45:05 PM,570,298.8888889
119,2/23/2023,6:45:06 PM,570,298.8888889
120,2/23/2023,6:45:07 PM,566,296.6666667
121,2/23/2023,6:45:08 PM,566,296.6666667
122,2/23/2023,6:45:09 PM,566,296.6666667
123,2/23/2023,6:45:10 PM,565,296.1111111
124,2/23/2023,6:45:11 PM,562,294.4444444
125,2/23/2023,6:45:12 PM,562,294.4444444
126,2/23/2023,6:45:13 PM,558,292.2222222
127,2/23/2023,6:45:14 PM,558,292.2222222
128,2/23/2023,6:45:15 PM,558,292.2222222
129,2/23/2023,6:45:16 PM,553,289.4444444
130,2/23/2023,6:45:17 PM,553,289.4444444
131,2/23/2023,6:45:18 PM,553,289.4444444
132,2/23/2023,6:45:19 PM,553,289.4444444
133,2/23/2023,6:45:20 PM,549,287.2222222
134,2/23/2023,6:45:21 PM,549,287.2222222
135,2/23/2023,6:45:22 PM,549,287.2222222
136,2/23/2023,6:45:23 PM,545,285
137,2/23/2023,6:45:24 PM,545,285
138,2/23/2023,6:45:25 PM,544,284.4444444
139,2/23/2023,6:45:26 PM,541,282.7777778
140,2/23/2023,6:45:27 PM,541,282.7777778
141,2/23/2023,6:45:28 PM,541,282.7777778
142,2/23/2023,6:45:29 PM,537,280.5555556
143,2/23/2023,6:45:30 PM,537,280.5555556
144,2/23/2023,6:45:31 PM,537,280.5555556
145,2/23/2023,6:45:32 PM,536,280
146,2/23/2023,6:45:33 PM,533,278.3333333
147,2/23/2023,6:45:34 PM,533,278.3333333
148,2/23/2023,6:45:35 PM,532,277.7777778
149,2/23/2023,6:45:36 PM,528,275.5555556
150,2/23/2023,6:45:37 PM,528,275.5555556
151,2/23/2023,6:45:38 PM,528,275.5555556
152,2/23/2023,6:45:39 PM,527,275
153,2/23/2023,6:45:40 PM,524,273.3333333
154,2/23/2023,6:45:41 PM,524,273.3333333
155,2/23/2023,6:45:42 PM,523,272.7777778
156,2/23/2023,6:45:43 PM,523,272.7777778
157,2/23/2023,6:45:44 PM,520,271.1111111
158,2/23/2023,6:45:45 PM,520,271.1111111
159,2/23/2023,6:45:46 PM,516,268.8888889
160,2/23/2023,6:45:47 PM,516,268.8888889
161,2/23/2023,6:45:48 PM,516,268.8888889
162,2/23/2023,6:45:49 PM,516,268.8888889
163,2/23/2023,6:45:50 PM,515,268.3333333
164,2/23/2023,6:45:51 PM,511,266.1111111
165,2/23/2023,6:45:52 PM,511,266.1111111
166,2/23/2023,6:45:53 PM,511,266.1111111
167,2/23/2023,6:45:54 PM,507,263.8888889
168,2/23/2023,6:45:55 PM,507,263.8888889
169,2/23/2023,6:45:56 PM,507,263.8888889
170,2/23/2023,6:45:57 PM,507,263.8888889
171,2/23/2023,6:45:58 PM,503,261.6666667
172,2/23/2023,6:45:59 PM,503,261.6666667
173,2/23/2023,6:46:00 PM,503,261.6666667
174,2/23/2023,6:46:01 PM,503,261.6666667
175,2/23/2023,6:46:02 PM,499,259.4444444
176,2/23/2023,6:46:03 PM,499,259.4444444
177,2/23/2023,6:46:04 PM,499,259.4444444
178,2/23/2023,6:46:05 PM,498,258.8888889
179,2/23/2023,6:46:06 PM,495,257.2222222
180,2/23/2023,6:46:07 PM,495,257.2222222
181,2/23/2023,6:46:08 PM,495,257.2222222
182,2/23/2023,6:46:09 PM,494,256.6666667
183,2/23/2023,6:46:10 PM,491,255
184,2/23/2023,6:46:11 PM,491,255
185,2/23/2023,6:46:12 PM,490,254.4444444
186,2/23/2023,6:46:13 PM,490,254.4444444
187,2/23/2023,6:46:14 PM,487,252.7777778
188,2/23/2023,6:46:15 PM,487,252.7777778
189,2/23/2023,6:46:16 PM,487,252.7777778
190,2/23/2023,6:46:17 PM,486,252.2222222
191,2/23/2023,6:46:18 PM,483,250.5555556
192,2/23/2023,6:46:19 PM,483,250.5555556
193,2/23/2023,6:46:20 PM,483,250.5555556
194,2/23/2023,6:46:21 PM,479,248.3333333
195,2/23/2023,6:46:22 PM,479,248.3333333
196,2/23/2023,6:46:23 PM,479,248.3333333
197,2/23/2023,6:46:24 PM,479,248.3333333
198,2/23/2023,6:46:25 PM,478,247.7777778
199,2/23/2023,6:46:26 PM,475,246.1111111
200,2/23/2023,6:46:27 PM,475,246.1111111
201,2/23/2023,6:46:28 PM,475,246.1111111
202,2/23/2023,6:46:29 PM,474,245.5555556
203,2/23/2023,6:46:30 PM,474,245.5555556
204,2/23/2023,6:46:31 PM,471,243.8888889
205,2/23/2023,6:46:32 PM,471,243.8888889
206,2/23/2023,6:46:33 PM,470,243.3333333
207,2/23/2023,6:46:34 PM,470,243.3333333
208,2/23/2023,6:46:35 PM,466,241.1111111
209,2/23/2023,6:46:36 PM,466,241.1111111
210,2/23/2023,6:46:37 PM,466,241.1111111
211,2/23/2023,6:46:38 PM,466,241.1111111
212,2/23/2023,6:46:39 PM,465,240.5555556
213,2/23/2023,6:46:40 PM,462,238.8888889
214,2/23/2023,6:46:41 PM,462,238.8888889
215,2/23/2023,6:46:42 PM,462,238.8888889
216,2/23/2023,6:46:43 PM,461,238.3333333
217,2/23/2023,6:46:44 PM,461,238.3333333
218,2/23/2023,6:46:45 PM,457,236.1111111
219,2/23/2023,6:46:46 PM,457,236.1111111
220,2/23/2023,6:46:47 PM,457,236.1111111
221,2/23/2023,6:46:48 PM,457,236.1111111
222,2/23/2023,6:46:49 PM,456,235.5555556
223,2/23/2023,6:46:50 PM,456,235.5555556
224,2/23/2023,6:46:51 PM,453,233.8888889
225,2/23/2023,6:46:52 PM,453,233.8888889
226,2/23/2023,6:46:53 PM,452,233.3333333
227,2/23/2023,6:46:54 PM,452,233.3333333
228,2/23/2023,6:46:55 PM,449,231.6666667
229,2/23/2023,6:46:56 PM,449,231.6666667
230,2/23/2023,6:46:57 PM,449,231.6666667
231,2/23/2023,6:46:58 PM,449,231.6666667
232,2/23/2023,6:46:59 PM,448,231.1111111
233,2/23/2023,6:47:00 PM,445,229.4444444
234,2/23/2023,6:47:01 PM,445,229.4444444
235,2/23/2023,6:47:02 PM,445,229.4444444
236,2/23/2023,6:47:03 PM,444,228.8888889
237,2/23/2023,6:47:04 PM,441,227.2222222
238,2/23/2023,6:47:05 PM,441,227.2222222
239,2/23/2023,6:47:06 PM,441,227.2222222
240,2/23/2023,6:47:07 PM,441,227.2222222
241,2/23/2023,6:47:08 PM,440,226.6666667
242,2/23/2023,6:47:09 PM,440,226.6666667
243,2/23/2023,6:47:10 PM,437,225
244,2/23/2023,6:47:11 PM,437,225
245,2/23/2023,6:47:12 PM,437,225
246,2/23/2023,6:47:13 PM,436,224.4444444
247,2/23/2023,6:47:14 PM,433,222.7777778
248,2/23/2023,6:47:15 PM,433,222.7777778
249,2/23/2023,6:47:16 PM,433,222.7777778
250,2/23/2023,6:47:17 PM,433,222.7777778
251,2/23/2023,6:47:18 PM,433,222.7777778
252,2/23/2023,6:47:19 PM,432,222.2222222
253,2/23/2023,6:47:20 PM,429,220.5555556
254,2/23/2023,6:47:21 PM,429,220.5555556
255,2/23/2023,6:47:22 PM,429,220.5555556
256,2/23/2023,6:47:23 PM,429,220.5555556
257,2/23/2023,6:47:24 PM,428,220
258,2/23/2023,6:47:25 PM,425,218.3333333
259,2/23/2023,6:47:26 PM,425,218.3333333
260,2/23/2023,6:47:27 PM,425,218.3333333
261,2/23/2023,6:47:28 PM,425,218.3333333
262,2/23/2023,6:47:29 PM,424,217.7777778
263,2/23/2023,6:47:30 PM,421,216.1111111
264,2/23/2023,6:47:31 PM,421,216.1111111
265,2/23/2023,6:47:32 PM,421,216.1111111
266,2/23/2023,6:47:33 PM,421,216.1111111
267,2/23/2023,6:47:34 PM,420,215.5555556
268,2/23/2023,6:47:35 PM,420,215.5555556
269,2/23/2023,6:47:36 PM,417,213.8888889
270,2/23/2023,6:47:37 PM,417,213.8888889
271,2/23/2023,6:47:38 PM,417,213.8888889
272,2/23/2023,6:47:39 PM,416,213.3333333
273,2/23/2023,6:47:40 PM,416,213.3333333
274,2/23/2023,6:47:41 PM,413,211.6666667
275,2/23/2023,6:47:42 PM,413,211.6666667
276,2/23/2023,6:47:43 PM,413,211.6666667
277,2/23/2023,6:47:44 PM,413,211.6666667
278,2/23/2023,6:47:45 PM,413,211.6666667
279,2/23/2023,6:47:46 PM,412,211.1111111
280,2/23/2023,6:47:47 PM,412,211.1111111
281,2/23/2023,6:47:48 PM,409,209.4444444
282,2/23/2023,6:47:49 PM,409,209.4444444
283,2/23/2023,6:47:50 PM,409,209.4444444
284,2/23/2023,6:47:51 PM,408,208.8888889
285,2/23/2023,6:47:52 PM,408,208.8888889
286,2/23/2023,6:47:53 PM,405,207.2222222
287,2/23/2023,6:47:54 PM,405,207.2222222
288,2/23/2023,6:47:55 PM,405,207.2222222
289,2/23/2023,6:47:56 PM,405,207.2222222
290,2/23/2023,6:47:57 PM,404,206.6666667
291,2/23/2023,6:47:58 PM,404,206.6666667
292,2/23/2023,6:47:59 PM,401,205
293,2/23/2023,6:48:00 PM,401,205
294,2/23/2023,6:48:01 PM,401,205
295,2/23/2023,6:48:02 PM,401,205
296,2/23/2023,6:48:03 PM,400,204.4444444
297,2/23/2023,6:48:04 PM,400,204.4444444
298,2/23/2023,6:48:05 PM,397,202.7777778
299,2/23/2023,6:48:06 PM,397,202.7777778
300,2/23/2023,6:48:07 PM,397,202.7777778
301,2/23/2023,6:48:08 PM,397,202.7777778
302,2/23/2023,6:48:09 PM,396,202.2222222
303,2/23/2023,6:48:10 PM,396,202.2222222
304,2/23/2023,6:48:11 PM,393,200.5555556
305,2/23/2023,6:48:12 PM,393,200.5555556
306,2/23/2023,6:48:13 PM,393,200.5555556
307,2/23/2023,6:48:14 PM,393,200.5555556
308,2/23/2023,6:48:15 PM,393,200.5555556
309,2/23/2023,6:48:16 PM,392,200
310,2/23/2023,6:48:17 PM,392,200
311,2/23/2023,6:48:18 PM,389,198.3333333
312,2/23/2023,6:48:19 PM,389,198.3333333
313,2/23/2023,6:48:20 PM,389,198.3333333
314,2/23/2023,6:48:21 PM,389,198.3333333
315,2/23/2023,6:48:22 PM,388,197.7777778
316,2/23/2023,6:48:23 PM,388,197.7777778
317,2/23/2023,6:48:24 PM,388,197.7777778
318,2/23/2023,6:48:25 PM,388,197.7777778
319,2/23/2023,6:48:26 PM,384,195.5555556
320,2/23/2023,6:48:27 PM,384,195.5555556
321,2/23/2023,6:48:28 PM,384,195.5555556
322,2/23/2023,6:48:29 PM,384,195.5555556
323,2/23/2023,6:48:30 PM,383,195
324,2/23/2023,6:48:31 PM,383,195
325,2/23/2023,6:48:32 PM,383,195
326,2/23/2023,6:48:33 PM,383,195
327,2/23/2023,6:48:34 PM,382,194.4444444
328,2/23/2023,6:48:35 PM,379,192.7777778
329,2/23/2023,6:48:36 PM,379,192.7777778
330,2/23/2023,6:48:37 PM,379,192.7777778
331,2/23/2023,6:48:38 PM,379,192.7777778
332,2/23/2023,6:48:39 PM,378,192.2222222
333,2/23/2023,6:48:40 PM,378,192.2222222
334,2/23/2023,6:48:41 PM,375,190.5555556
335,2/23/2023,6:48:42 PM,375,190.5555556
336,2/23/2023,6:48:43 PM,375,190.5555556
337,2/23/2023,6:48:44 PM,375,190.5555556
338,2/23/2023,6:48:45 PM,375,190.5555556
339,2/23/2023,6:48:46 PM,374,190
340,2/23/2023,6:48:47 PM,374,190
341,2/23/2023,6:48:48 PM,371,188.3333333
342,2/23/2023,6:48:49 PM,371,188.3333333
343,2/23/2023,6:48:50 PM,371,188.3333333
344,2/23/2023,6:48:51 PM,371,188.3333333
345,2/23/2023,6:48:52 PM,371,188.3333333
346,2/23/2023,6:48:53 PM,370,187.7777778
347,2/23/2023,6:48:54 PM,370,187.7777778
348,2/23/2023,6:48:55 PM,370,187.7777778
349,2/23/2023,6:48:56 PM,369,187.2222222
350,2/23/2023,6:48:57 PM,366,185.5555556
351,2/23/2023,6:48:58 PM,366,185.5555556
352,2/23/2023,6:48:59 PM,366,185.5555556
353,2/23/2023,6:49:00 PM,366,185.5555556
354,2/23/2023,6:49:01 PM,366,185.5555556
355,2/23/2023,6:49:02 PM,365,185
356,2/23/2023,6:49:03 PM,365,185
357,2/23/2023,6:49:04 PM,365,185
358,2/23/2023,6:49:05 PM,365,185
359,2/23/2023,6:49:06 PM,361,182.7777778
360,2/23/2023,6:49:07 PM,361,182.7777778
361,2/23/2023,6:49:08 PM,361,182.7777778
362,2/23/2023,6:49:09 PM,361,182.7777778
363,2/23/2023,6:49:10 PM,361,182.7777778
364,2/23/2023,6:49:11 PM,361,182.7777778
365,2/23/2023,6:49:12 PM,360,182.2222222
366,2/23/2023,6:49:13 PM,360,182.2222222
367,2/23/2023,6:49:14 PM,357,180.5555556
368,2/23/2023,6:49:15 PM,357,180.5555556
369,2/23/2023,6:49:16 PM,357,180.5555556
370,2/23/2023,6:49:17 PM,357,180.5555556
371,2/23/2023,6:49:18 PM,357,180.5555556
372,2/23/2023,6:49:19 PM,356,180
373,2/23/2023,6:49:20 PM,356,180
374,2/23/2023,6:49:21 PM,356,180
375,2/23/2023,6:49:22 PM,356,180
376,2/23/2023,6:49:23 PM,355,179.4444444
377,2/23/2023,6:49:24 PM,355,179.4444444
378,2/23/2023,6:49:25 PM,352,177.7777778
379,2/23/2023,6:49:26 PM,352,177.7777778
380,2/23/2023,6:49:27 PM,352,177.7777778
381,2/23/2023,6:49:28 PM,352,177.7777778
382,2/23/2023,6:49:29 PM,351,177.2222222
383,2/23/2023,6:49:30 PM,351,177.2222222
384,2/23/2023,6:49:31 PM,351,177.2222222
385,2/23/2023,6:49:32 PM,351,177.2222222
386,2/23/2023,6:49:33 PM,350,176.6666667
387,2/23/2023,6:49:34 PM,347,175
388,2/23/2023,6:49:35 PM,347,175
389,2/23/2023,6:49:36 PM,347,175
390,2/23/2023,6:49:37 PM,347,175
391,2/23/2023,6:49:38 PM,347,175
392,2/23/2023,6:49:39 PM,346,174.4444444
393,2/23/2023,6:49:40 PM,346,174.4444444
394,2/23/2023,6:49:41 PM,346,174.4444444
395,2/23/2023,6:49:42 PM,346,174.4444444
396,2/23/2023,6:49:43 PM,346,174.4444444
397,2/23/2023,6:49:44 PM,345,173.8888889
398,2/23/2023,6:49:45 PM,342,172.2222222
399,2/23/2023,6:49:46 PM,342,172.2222222
400,2/23/2023,6:49:47 PM,342,172.2222222
401,2/23/2023,6:49:48 PM,342,172.2222222
402,2/23/2023,6:49:49 PM,341,171.6666667
403,2/23/2023,6:49:50 PM,341,171.6666667
404,2/23/2023,6:49:51 PM,341,171.6666667
405,2/23/2023,6:49:52 PM,341,171.6666667
406,2/23/2023,6:49:53 PM,341,171.6666667
407,2/23/2023,6:49:54 PM,340,171.1111111
408,2/23/2023,6:49:55 PM,337,169.4444444
409,2/23/2023,6:49:56 PM,337,169.4444444
410,2/23/2023,6:49:57 PM,337,169.4444444
411,2/23/2023,6:49:58 PM,337,169.4444444
412,2/23/2023,6:49:59 PM,337,169.4444444
413,2/23/2023,6:50:00 PM,337,169.4444444
414,2/23/2023,6:50:01 PM,336,168.8888889
415,2/23/2023,6:50:02 PM,336,168.8888889
416,2/23/2023,6:50:03 PM,336,168.8888889
417,2/23/2023,6:50:04 PM,335,168.3333333
418,2/23/2023,6:50:05 PM,335,168.3333333
419,2/23/2023,6:50:06 PM,332,166.6666667
420,2/23/2023,6:50:07 PM,332,166.6666667
421,2/23/2023,6:50:08 PM,332,166.6666667
422,2/23/2023,6:50:09 PM,332,166.6666667
423,2/23/2023,6:50:10 PM,332,166.6666667
424,2/23/2023,6:50:11 PM,332,166.6666667
425,2/23/2023,6:50:12 PM,331,166.1111111
426,2/23/2023,6:50:13 PM,331,166.1111111
427,2/23/2023,6:50:14 PM,331,166.1111111
428,2/23/2023,6:50:15 PM,330,165.5555556
429,2/23/2023,6:50:16 PM,330,165.5555556
430,2/23/2023,6:50:17 PM,330,165.5555556
431,2/23/2023,6:50:18 PM,327,163.8888889
432,2/23/2023,6:50:19 PM,327,163.8888889
433,2/23/2023,6:50:20 PM,327,163.8888889
434,2/23/2023,6:50:21 PM,327,163.8888889
435,2/23/2023,6:50:22 PM,327,163.8888889
436,2/23/2023,6:50:23 PM,327,163.8888889
437,2/23/2023,6:50:24 PM,326,163.3333333
438,2/23/2023,6:50:25 PM,326,163.3333333
439,2/23/2023,6:50:26 PM,326,163.3333333
440,2/23/2023,6:50:27 PM,326,163.3333333
441,2/23/2023,6:50:28 PM,325,162.7777778
442,2/23/2023,6:50:29 PM,322,161.1111111
443,2/23/2023,6:50:30 PM,322,161.1111111
444,2/23/2023,6:50:31 PM,322,161.1111111
445,2/23/2023,6:50:32 PM,322,161.1111111
446,2/23/2023,6:50:33 PM,322,161.1111111
447,2/23/2023,6:50:34 PM,322,161.1111111
448,2/23/2023,6:50:35 PM,321,160.5555556
449,2/23/2023,6:50:36 PM,321,160.5555556
450,2/23/2023,6:50:37 PM,321,160.5555556
451,2/23/2023,6:50:38 PM,321,160.5555556
452,2/23/2023,6:50:39 PM,321,160.5555556
453,2/23/2023,6:50:40 PM,320,160
454,2/23/2023,6:50:41 PM,320,160
455,2/23/2023,6:50:42 PM,317,158.3333333
456,2/23/2023,6:50:43 PM,317,158.3333333
457,2/23/2023,6:50:44 PM,317,158.3333333
458,2/23/2023,6:50:45 PM,317,158.3333333
459,2/23/2023,6:50:46 PM,317,158.3333333
460,2/23/2023,6:50:47 PM,317,158.3333333
461,2/23/2023,6:50:48 PM,316,157.7777778
462,2/23/2023,6:50:49 PM,316,157.7777778
463,2/23/2023,6:50:50 PM,316,157.7777778
464,2/23/2023,6:50:51 PM,316,157.7777778
465,2/23/2023,6:50:52 PM,316,157.7777778
466,2/23/2023,6:50:53 PM,315,157.2222222
467,2/23/2023,6:50:54 PM,315,157.2222222
468,2/23/2023,6:50:55 PM,315,157.2222222
469,2/23/2023,6:50:56 PM,314,156.6666667
470,2/23/2023,6:50:57 PM,311,155
471,2/23/2023,6:50:58 PM,311,155
472,2/23/2023,6:50:59 PM,311,155
473,2/23/2023,6:51:00 PM,311,155
474,2/23/2023,6:51:01 PM,311,155
475,2/23/2023,6:51:02 PM,311,155
476,2/23/2023,6:51:03 PM,310,154.4444444
477,2/23/2023,6:51:04 PM,310,154.4444444
478,2/23/2023,6:51:05 PM,310,154.4444444
479,2/23/2023,6:51:06 PM,310,154.4444444
480,2/23/2023,6:51:07 PM,310,154.4444444
481,2/23/2023,6:51:08 PM,310,154.4444444
482,2/23/2023,6:51:09 PM,309,153.8888889
483,2/23/2023,6:51:10 PM,309,153.8888889
484,2/23/2023,6:51:11 PM,309,153.8888889
485,2/23/2023,6:51:12 PM,309,153.8888889
486,2/23/2023,6:51:13 PM,308,153.3333333
487,2/23/2023,6:51:14 PM,308,153.3333333
488,2/23/2023,6:51:15 PM,308,153.3333333
489,2/23/2023,6:51:16 PM,308,153.3333333
490,2/23/2023,6:51:17 PM,308,153.3333333
491,2/23/2023,6:51:18 PM,308,153.3333333
492,2/23/2023,6:51:19 PM,308,153.3333333
493,2/23/2023,6:51:20 PM,307,152.7777778
494,2/23/2023,6:51:21 PM,307,152.7777778
495,2/23/2023,6:51:22 PM,307,152.7777778
496,2/23/2023,6:51:23 PM,307,152.7777778
497,2/23/2023,6:51:24 PM,307,152.7777778
498,2/23/2023,6:51:25 PM,307,152.7777778
499,2/23/2023,6:51:26 PM,306,152.2222222
500,2/23/2023,6:51:27 PM,306,152.2222222
501,2/23/2023,6:51:28 PM,306,152.2222222
502,2/23/2023,6:51:29 PM,306,152.2222222
503,2/23/2023,6:51:30 PM,306,152.2222222
504,2/23/2023,6:51:31 PM,306,152.2222222
505,2/23/2023,6:51:32 PM,305,151.6666667
506,2/23/2023,6:51:33 PM,305,151.6666667
507,2/23/2023,6:51:34 PM,305,151.6666667
508,2/23/2023,6:51:35 PM,305,151.6666667
509,2/23/2023,6:51:36 PM,305,151.6666667
510,2/23/2023,6:51:37 PM,304,151.1111111
511,2/23/2023,6:51:38 PM,304,151.1111111
512,2/23/2023,6:51:39 PM,304,151.1111111
513,2/23/2023,6:51:40 PM,304,151.1111111
514,2/23/2023,6:51:41 PM,304,151.1111111
515,2/23/2023,6:51:42 PM,303,150.5555556
516,2/23/2023,6:51:43 PM,303,150.5555556
517,2/23/2023,6:51:44 PM,303,150.5555556
518,2/23/2023,6:51:45 PM,303,150.5555556
519,2/23/2023,6:51:46 PM,303,150.5555556
520,2/23/2023,6:51:47 PM,303,150.5555556
521,2/23/2023,6:51:48 PM,302,150
522,2/23/2023,6:51:49 PM,302,150
523,2/23/2023,6:51:50 PM,302,150
524,2/23/2023,6:51:51 PM,302,150
525,2/23/2023,6:51:52 PM,302,150
526,2/23/2023,6:51:53 PM,301,149.4444444
527,2/23/2023,6:51:54 PM,301,149.4444444
528,2/23/2023,6:51:55 PM,301,149.4444444
529,2/23/2023,6:51:56 PM,301,149.4444444
530,2/23/2023,6:51:57 PM,301,149.4444444
531,2/23/2023,6:51:58 PM,301,149.4444444
532,2/23/2023,6:51:59 PM,301,149.4444444
533,2/23/2023,6:52:00 PM,300,148.8888889
534,2/23/2023,6:52:01 PM,300,148.8888889
535,2/23/2023,6:52:02 PM,300,148.8888889
536,2/23/2023,6:52:03 PM,300,148.8888889
537,2/23/2023,6:52:04 PM,299,148.3333333
538,2/23/2023,6:52:05 PM,299,148.3333333
539,2/23/2023,6:52:06 PM,299,148.3333333
540,2/23/2023,6:52:07 PM,299,148.3333333
541,2/23/2023,6:52:08 PM,299,148.3333333
542,2/23/2023,6:52:09 PM,299,148.3333333
