Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,Celsis Temp
0,2/23/2023,6:43:07 PM,855,457.2222222
1,2/23/2023,6:43:08 PM,855,457.2222222
2,2/23/2023,6:43:09 PM,845,451.6666667
3,2/23/2023,6:43:10 PM,841,449.4444444
4,2/23/2023,6:43:11 PM,837,447.2222222
5,2/23/2023,6:43:12 PM,834,445.5555556
6,2/23/2023,6:43:13 PM,829,442.7777778
7,2/23/2023,6:43:14 PM,826,441.1111111
8,2/23/2023,6:43:15 PM,823,439.4444444
9,2/23/2023,6:43:16 PM,818,436.6666667
10,2/23/2023,6:43:17 PM,812,433.3333333
11,2/23/2023,6:43:18 PM,808,431.1111111
12,2/23/2023,6:43:19 PM,805,429.4444444
13,2/23/2023,6:43:20 PM,801,427.2222222
14,2/23/2023,6:43:21 PM,798,425.5555556
15,2/23/2023,6:43:22 PM,795,423.8888889
16,2/23/2023,6:43:23 PM,791,421.6666667
17,2/23/2023,6:43:24 PM,791,421.6666667
18,2/23/2023,6:43:25 PM,786,418.8888889
19,2/23/2023,6:43:26 PM,782,416.6666667
20,2/23/2023,6:43:27 PM,776,413.3333333
21,2/23/2023,6:43:28 PM,773,411.6666667
22,2/23/2023,6:43:29 PM,770,410
23,2/23/2023,6:43:30 PM,767,408.3333333
24,2/23/2023,6:43:31 PM,764,406.6666667
25,2/23/2023,6:43:32 PM,764,406.6666667
26,2/23/2023,6:43:33 PM,758,403.3333333
27,2/23/2023,6:43:34 PM,758,403.3333333
28,2/23/2023,6:43:35 PM,754,401.1111111
29,2/23/2023,6:43:36 PM,750,398.8888889
30,2/23/2023,6:43:37 PM,750,398.8888889
31,2/23/2023,6:43:38 PM,745,396.1111111
32,2/23/2023,6:43:39 PM,740,393.3333333
33,2/23/2023,6:43:40 PM,737,391.6666667
34,2/23/2023,6:43:41 PM,737,391.6666667
35,2/23/2023,6:43:42 PM,733,389.4444444
36,2/23/2023,6:43:43 PM,730,387.7777778
37,2/23/2023,6:43:44 PM,730,387.7777778
38,2/23/2023,6:43:45 PM,725,385
39,2/23/2023,6:43:46 PM,721,382.7777778
40,2/23/2023,6:43:47 PM,721,382.7777778
41,2/23/2023,6:43:48 PM,717,380.5555556
42,2/23/2023,6:43:49 PM,713,378.3333333
43,2/23/2023,6:43:50 PM,713,378.3333333
44,2/23/2023,6:43:51 PM,708,375.5555556
45,2/23/2023,6:43:52 PM,708,375.5555556
46,2/23/2023,6:43:53 PM,704,373.3333333
47,2/23/2023,6:43:54 PM,704,373.3333333
48,2/23/2023,6:43:55 PM,699,370.5555556
49,2/23/2023,6:43:56 PM,695,368.3333333
50,2/23/2023,6:43:57 PM,695,368.3333333
51,2/23/2023,6:43:58 PM,691,366.1111111
52,2/23/2023,6:43:59 PM,691,366.1111111
53,2/23/2023,6:44:00 PM,687,363.8888889
54,2/23/2023,6:44:01 PM,687,363.8888889
55,2/23/2023,6:44:02 PM,683,361.6666667
56,2/23/2023,6:44:03 PM,680,360
57,2/23/2023,6:44:04 PM,680,360
58,2/23/2023,6:44:05 PM,676,357.7777778
