Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,6:22:58 PM,325
1,2/23/2023,6:22:59 PM,325
2,2/23/2023,6:23:00 PM,322
3,2/23/2023,6:23:01 PM,320
4,2/23/2023,6:23:02 PM,318
5,2/23/2023,6:23:03 PM,318
6,2/23/2023,6:23:04 PM,318
7,2/23/2023,6:23:05 PM,315
8,2/23/2023,6:23:06 PM,315
9,2/23/2023,6:23:07 PM,313
10,2/23/2023,6:23:08 PM,313
11,2/23/2023,6:23:09 PM,311
12,2/23/2023,6:23:10 PM,310
13,2/23/2023,6:23:11 PM,308
14,2/23/2023,6:23:12 PM,308
15,2/23/2023,6:23:13 PM,306
16,2/23/2023,6:23:14 PM,306
17,2/23/2023,6:23:15 PM,305
18,2/23/2023,6:23:16 PM,303
19,2/23/2023,6:23:17 PM,303
20,2/23/2023,6:23:18 PM,303
21,2/23/2023,6:23:19 PM,300
22,2/23/2023,6:23:20 PM,300
23,2/23/2023,6:23:21 PM,297
24,2/23/2023,6:23:22 PM,297
25,2/23/2023,6:23:23 PM,297
26,2/23/2023,6:23:24 PM,294
27,2/23/2023,6:23:25 PM,294
28,2/23/2023,6:23:26 PM,294
29,2/23/2023,6:23:27 PM,292
30,2/23/2023,6:23:28 PM,292
31,2/23/2023,6:23:29 PM,289
32,2/23/2023,6:23:30 PM,289
33,2/23/2023,6:23:31 PM,287
34,2/23/2023,6:23:32 PM,287
35,2/23/2023,6:23:33 PM,287
36,2/23/2023,6:23:34 PM,284
37,2/23/2023,6:23:35 PM,284
38,2/23/2023,6:23:36 PM,284
39,2/23/2023,6:23:37 PM,282
40,2/23/2023,6:23:38 PM,282
41,2/23/2023,6:23:39 PM,282
42,2/23/2023,6:23:40 PM,279
43,2/23/2023,6:23:41 PM,279
44,2/23/2023,6:23:42 PM,277
45,2/23/2023,6:23:43 PM,277
46,2/23/2023,6:23:44 PM,277
47,2/23/2023,6:23:45 PM,277
48,2/23/2023,6:23:46 PM,274
49,2/23/2023,6:23:47 PM,274
50,2/23/2023,6:23:48 PM,274
51,2/23/2023,6:23:49 PM,272
52,2/23/2023,6:23:50 PM,272
53,2/23/2023,6:23:51 PM,270
54,2/23/2023,6:23:52 PM,270
55,2/23/2023,6:23:53 PM,270
56,2/23/2023,6:23:54 PM,270
57,2/23/2023,6:23:55 PM,267
58,2/23/2023,6:23:56 PM,267
59,2/23/2023,6:23:57 PM,267
60,2/23/2023,6:23:58 PM,267
61,2/23/2023,6:23:59 PM,264
62,2/23/2023,6:24:00 PM,264
63,2/23/2023,6:24:01 PM,262
64,2/23/2023,6:24:02 PM,262
65,2/23/2023,6:24:03 PM,262
66,2/23/2023,6:24:04 PM,260
67,2/23/2023,6:24:05 PM,260
68,2/23/2023,6:24:06 PM,260
69,2/23/2023,6:24:07 PM,258
70,2/23/2023,6:24:08 PM,258
71,2/23/2023,6:24:09 PM,258
72,2/23/2023,6:24:10 PM,256
73,2/23/2023,6:24:11 PM,255
74,2/23/2023,6:24:12 PM,255
75,2/23/2023,6:24:13 PM,253
76,2/23/2023,6:24:14 PM,253
77,2/23/2023,6:24:15 PM,253
78,2/23/2023,6:24:16 PM,251
79,2/23/2023,6:24:17 PM,251
80,2/23/2023,6:24:18 PM,251
81,2/23/2023,6:24:19 PM,251
82,2/23/2023,6:24:20 PM,248
83,2/23/2023,6:24:21 PM,248
84,2/23/2023,6:24:22 PM,248
85,2/23/2023,6:24:23 PM,248
86,2/23/2023,6:24:24 PM,246
87,2/23/2023,6:24:25 PM,246
88,2/23/2023,6:24:26 PM,246
89,2/23/2023,6:24:27 PM,244
90,2/23/2023,6:24:28 PM,244
91,2/23/2023,6:24:29 PM,244
92,2/23/2023,6:24:30 PM,244
93,2/23/2023,6:24:31 PM,242
94,2/23/2023,6:24:32 PM,242
95,2/23/2023,6:24:33 PM,241
96,2/23/2023,6:24:34 PM,239
97,2/23/2023,6:24:35 PM,239
98,2/23/2023,6:24:36 PM,239
99,2/23/2023,6:24:37 PM,239
100,2/23/2023,6:24:38 PM,238
101,2/23/2023,6:24:39 PM,237
102,2/23/2023,6:24:40 PM,236
103,2/23/2023,6:24:41 PM,236
104,2/23/2023,6:24:42 PM,234
105,2/23/2023,6:24:43 PM,234
106,2/23/2023,6:24:44 PM,234
107,2/23/2023,6:24:45 PM,234
108,2/23/2023,6:24:46 PM,232
109,2/23/2023,6:24:47 PM,232
110,2/23/2023,6:24:48 PM,232
111,2/23/2023,6:24:49 PM,231
112,2/23/2023,6:24:50 PM,229
113,2/23/2023,6:24:51 PM,229
114,2/23/2023,6:24:52 PM,229
115,2/23/2023,6:24:53 PM,229
116,2/23/2023,6:24:54 PM,229
117,2/23/2023,6:24:55 PM,227
118,2/23/2023,6:24:56 PM,227
119,2/23/2023,6:24:57 PM,227
120,2/23/2023,6:24:58 PM,227
121,2/23/2023,6:24:59 PM,225
122,2/23/2023,6:25:00 PM,225
123,2/23/2023,6:25:01 PM,223
124,2/23/2023,6:25:02 PM,223
125,2/23/2023,6:25:03 PM,223
126,2/23/2023,6:25:04 PM,223
127,2/23/2023,6:25:05 PM,223
128,2/23/2023,6:25:06 PM,223
129,2/23/2023,6:25:07 PM,221
130,2/23/2023,6:25:08 PM,221
131,2/23/2023,6:25:09 PM,220
132,2/23/2023,6:25:10 PM,220
133,2/23/2023,6:25:11 PM,220
134,2/23/2023,6:25:12 PM,220
135,2/23/2023,6:25:13 PM,220
136,2/23/2023,6:25:14 PM,220
137,2/23/2023,6:25:15 PM,220
138,2/23/2023,6:25:16 PM,220
139,2/23/2023,6:25:17 PM,218
140,2/23/2023,6:25:18 PM,218
141,2/23/2023,6:25:19 PM,218
142,2/23/2023,6:25:20 PM,218
143,2/23/2023,6:25:21 PM,218
144,2/23/2023,6:25:22 PM,218
145,2/23/2023,6:25:23 PM,218
146,2/23/2023,6:25:24 PM,218
147,2/23/2023,6:25:25 PM,218
148,2/23/2023,6:25:26 PM,219
149,2/23/2023,6:25:27 PM,219
150,2/23/2023,6:25:28 PM,219
151,2/23/2023,6:25:29 PM,219
152,2/23/2023,6:25:30 PM,219
153,2/23/2023,6:25:31 PM,219
154,2/23/2023,6:25:32 PM,219
155,2/23/2023,6:25:33 PM,219
156,2/23/2023,6:25:34 PM,219
157,2/23/2023,6:25:35 PM,219
158,2/23/2023,6:25:36 PM,219
159,2/23/2023,6:25:37 PM,219
160,2/23/2023,6:25:38 PM,219
161,2/23/2023,6:25:39 PM,219
162,2/23/2023,6:25:40 PM,219
163,2/23/2023,6:25:41 PM,219
164,2/23/2023,6:25:42 PM,219
165,2/23/2023,6:25:43 PM,219
166,2/23/2023,6:25:44 PM,219
167,2/23/2023,6:25:45 PM,219
168,2/23/2023,6:25:46 PM,219
169,2/23/2023,6:25:47 PM,219
170,2/23/2023,6:25:48 PM,219
171,2/23/2023,6:25:49 PM,219
172,2/23/2023,6:25:50 PM,219
173,2/23/2023,6:25:51 PM,219
174,2/23/2023,6:25:52 PM,219
175,2/23/2023,6:25:53 PM,219
176,2/23/2023,6:25:54 PM,219
177,2/23/2023,6:25:55 PM,219
178,2/23/2023,6:25:56 PM,219
179,2/23/2023,6:25:57 PM,219
180,2/23/2023,6:25:58 PM,219
181,2/23/2023,6:25:59 PM,219
182,2/23/2023,6:26:00 PM,219
183,2/23/2023,6:26:01 PM,219
184,2/23/2023,6:26:02 PM,219
185,2/23/2023,6:26:03 PM,219
186,2/23/2023,6:26:04 PM,219
187,2/23/2023,6:26:05 PM,219
188,2/23/2023,6:26:06 PM,219
189,2/23/2023,6:26:07 PM,219
190,2/23/2023,6:26:08 PM,219
191,2/23/2023,6:26:09 PM,219
192,2/23/2023,6:26:10 PM,219
193,2/23/2023,6:26:11 PM,219
194,2/23/2023,6:26:12 PM,219
195,2/23/2023,6:26:13 PM,219
196,2/23/2023,6:26:14 PM,218
197,2/23/2023,6:26:15 PM,218
198,2/23/2023,6:26:16 PM,218
199,2/23/2023,6:26:17 PM,218
200,2/23/2023,6:26:18 PM,218
201,2/23/2023,6:26:19 PM,218
202,2/23/2023,6:26:20 PM,218
203,2/23/2023,6:26:21 PM,218
204,2/23/2023,6:26:22 PM,218
205,2/23/2023,6:26:23 PM,218
206,2/23/2023,6:26:24 PM,218
207,2/23/2023,6:26:25 PM,218
208,2/23/2023,6:26:26 PM,218
209,2/23/2023,6:26:27 PM,218
210,2/23/2023,6:26:28 PM,218
211,2/23/2023,6:26:29 PM,218
212,2/23/2023,6:26:30 PM,218
213,2/23/2023,6:26:31 PM,218
214,2/23/2023,6:26:32 PM,217
215,2/23/2023,6:26:33 PM,217
216,2/23/2023,6:26:34 PM,217
217,2/23/2023,6:26:35 PM,217
218,2/23/2023,6:26:36 PM,217
219,2/23/2023,6:26:37 PM,217
220,2/23/2023,6:26:38 PM,217
221,2/23/2023,6:26:39 PM,217
222,2/23/2023,6:26:40 PM,217
223,2/23/2023,6:26:41 PM,217
224,2/23/2023,6:26:42 PM,217
225,2/23/2023,6:26:43 PM,217
226,2/23/2023,6:26:44 PM,217
227,2/23/2023,6:26:45 PM,216
228,2/23/2023,6:26:46 PM,216
229,2/23/2023,6:26:47 PM,216
230,2/23/2023,6:26:48 PM,216
231,2/23/2023,6:26:49 PM,216
232,2/23/2023,6:26:50 PM,216
233,2/23/2023,6:26:51 PM,216
234,2/23/2023,6:26:52 PM,216
235,2/23/2023,6:26:53 PM,216
236,2/23/2023,6:26:54 PM,216
237,2/23/2023,6:26:55 PM,215
238,2/23/2023,6:26:56 PM,215
239,2/23/2023,6:26:57 PM,215
240,2/23/2023,6:26:58 PM,215
241,2/23/2023,6:26:59 PM,215
242,2/23/2023,6:27:00 PM,215
243,2/23/2023,6:27:01 PM,215
244,2/23/2023,6:27:02 PM,215
