Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,7:10:34 PM,429
1,2/23/2023,7:10:35 PM,426
2,2/23/2023,7:10:36 PM,424
3,2/23/2023,7:10:37 PM,422
4,2/23/2023,7:10:38 PM,422
5,2/23/2023,7:10:39 PM,418
6,2/23/2023,7:10:40 PM,418
7,2/23/2023,7:10:41 PM,416
8,2/23/2023,7:10:42 PM,413
9,2/23/2023,7:10:43 PM,412
10,2/23/2023,7:10:44 PM,412
11,2/23/2023,7:10:45 PM,407
12,2/23/2023,7:10:46 PM,407
13,2/23/2023,7:10:47 PM,403
14,2/23/2023,7:10:48 PM,403
15,2/23/2023,7:10:49 PM,401
16,2/23/2023,7:10:50 PM,399
17,2/23/2023,7:10:51 PM,397
18,2/23/2023,7:10:52 PM,396
19,2/23/2023,7:10:53 PM,393
20,2/23/2023,7:10:54 PM,393
21,2/23/2023,7:10:55 PM,391
22,2/23/2023,7:10:56 PM,389
23,2/23/2023,7:10:57 PM,387
24,2/23/2023,7:10:58 PM,387
25,2/23/2023,7:10:59 PM,385
26,2/23/2023,7:11:00 PM,383
27,2/23/2023,7:11:01 PM,383
28,2/23/2023,7:11:02 PM,381
29,2/23/2023,7:11:03 PM,378
30,2/23/2023,7:11:04 PM,378
31,2/23/2023,7:11:05 PM,376
32,2/23/2023,7:11:06 PM,375
33,2/23/2023,7:11:07 PM,373
34,2/23/2023,7:11:08 PM,371
35,2/23/2023,7:11:09 PM,371
36,2/23/2023,7:11:10 PM,369
37,2/23/2023,7:11:11 PM,369
38,2/23/2023,7:11:12 PM,369
39,2/23/2023,7:11:13 PM,365
40,2/23/2023,7:11:14 PM,363
41,2/23/2023,7:11:15 PM,363
42,2/23/2023,7:11:16 PM,363
43,2/23/2023,7:11:17 PM,360
44,2/23/2023,7:11:18 PM,360
45,2/23/2023,7:11:19 PM,358
46,2/23/2023,7:11:20 PM,358
47,2/23/2023,7:11:21 PM,356
48,2/23/2023,7:11:22 PM,353
49,2/23/2023,7:11:23 PM,353
50,2/23/2023,7:11:24 PM,351
51,2/23/2023,7:11:25 PM,351
52,2/23/2023,7:11:26 PM,351
53,2/23/2023,7:11:27 PM,348
54,2/23/2023,7:11:28 PM,348
55,2/23/2023,7:11:29 PM,346
56,2/23/2023,7:11:30 PM,346
57,2/23/2023,7:11:31 PM,346
58,2/23/2023,7:11:32 PM,342
59,2/23/2023,7:11:33 PM,342
60,2/23/2023,7:11:34 PM,340
61,2/23/2023,7:11:35 PM,340
62,2/23/2023,7:11:36 PM,340
63,2/23/2023,7:11:37 PM,337
64,2/23/2023,7:11:38 PM,337
65,2/23/2023,7:11:39 PM,337
66,2/23/2023,7:11:40 PM,334
67,2/23/2023,7:11:41 PM,334
68,2/23/2023,7:11:42 PM,332
69,2/23/2023,7:11:43 PM,332
70,2/23/2023,7:11:44 PM,329
71,2/23/2023,7:11:45 PM,329
72,2/23/2023,7:11:46 PM,329
73,2/23/2023,7:11:47 PM,327
74,2/23/2023,7:11:48 PM,327
75,2/23/2023,7:11:49 PM,327
76,2/23/2023,7:11:50 PM,324
77,2/23/2023,7:11:51 PM,324
78,2/23/2023,7:11:52 PM,322
79,2/23/2023,7:11:53 PM,322
80,2/23/2023,7:11:54 PM,322
81,2/23/2023,7:11:55 PM,319
82,2/23/2023,7:11:56 PM,319
83,2/23/2023,7:11:57 PM,319
84,2/23/2023,7:11:58 PM,317
85,2/23/2023,7:11:59 PM,317
86,2/23/2023,7:12:00 PM,317
87,2/23/2023,7:12:01 PM,314
88,2/23/2023,7:12:02 PM,314
89,2/23/2023,7:12:03 PM,314
90,2/23/2023,7:12:04 PM,312
91,2/23/2023,7:12:05 PM,312
92,2/23/2023,7:12:06 PM,310
93,2/23/2023,7:12:07 PM,310
94,2/23/2023,7:12:08 PM,310
95,2/23/2023,7:12:09 PM,308
96,2/23/2023,7:12:10 PM,308
97,2/23/2023,7:12:11 PM,306
98,2/23/2023,7:12:12 PM,306
99,2/23/2023,7:12:13 PM,305
100,2/23/2023,7:12:14 PM,303
101,2/23/2023,7:12:15 PM,303
102,2/23/2023,7:12:16 PM,303
103,2/23/2023,7:12:17 PM,303
104,2/23/2023,7:12:18 PM,300
105,2/23/2023,7:12:19 PM,300
106,2/23/2023,7:12:20 PM,300
107,2/23/2023,7:12:21 PM,298
108,2/23/2023,7:12:22 PM,298
109,2/23/2023,7:12:23 PM,298
110,2/23/2023,7:12:24 PM,296
111,2/23/2023,7:12:25 PM,295
112,2/23/2023,7:12:26 PM,295
113,2/23/2023,7:12:27 PM,295
114,2/23/2023,7:12:28 PM,293
115,2/23/2023,7:12:29 PM,293
116,2/23/2023,7:12:30 PM,293
117,2/23/2023,7:12:31 PM,290
118,2/23/2023,7:12:32 PM,290
119,2/23/2023,7:12:33 PM,290
120,2/23/2023,7:12:34 PM,290
121,2/23/2023,7:12:35 PM,287
122,2/23/2023,7:12:36 PM,287
123,2/23/2023,7:12:37 PM,287
124,2/23/2023,7:12:38 PM,287
125,2/23/2023,7:12:39 PM,284
126,2/23/2023,7:12:40 PM,284
127,2/23/2023,7:12:41 PM,284
128,2/23/2023,7:12:42 PM,284
129,2/23/2023,7:12:43 PM,284
130,2/23/2023,7:12:44 PM,281
131,2/23/2023,7:12:45 PM,281
132,2/23/2023,7:12:46 PM,281
133,2/23/2023,7:12:47 PM,279
134,2/23/2023,7:12:48 PM,279
135,2/23/2023,7:12:49 PM,279
136,2/23/2023,7:12:50 PM,279
137,2/23/2023,7:12:51 PM,276
138,2/23/2023,7:12:52 PM,276
139,2/23/2023,7:12:53 PM,276
140,2/23/2023,7:12:54 PM,276
141,2/23/2023,7:12:55 PM,276
142,2/23/2023,7:12:56 PM,273
143,2/23/2023,7:12:57 PM,273
144,2/23/2023,7:12:58 PM,273
145,2/23/2023,7:12:59 PM,271
146,2/23/2023,7:13:00 PM,271
147,2/23/2023,7:13:01 PM,271
148,2/23/2023,7:13:02 PM,271
149,2/23/2023,7:13:03 PM,271
150,2/23/2023,7:13:04 PM,268
151,2/23/2023,7:13:05 PM,268
152,2/23/2023,7:13:06 PM,268
153,2/23/2023,7:13:07 PM,268
154,2/23/2023,7:13:08 PM,266
155,2/23/2023,7:13:09 PM,266
156,2/23/2023,7:13:10 PM,266
157,2/23/2023,7:13:11 PM,264
158,2/23/2023,7:13:12 PM,264
159,2/23/2023,7:13:13 PM,264
160,2/23/2023,7:13:14 PM,264
161,2/23/2023,7:13:15 PM,262
162,2/23/2023,7:13:16 PM,262
163,2/23/2023,7:13:17 PM,262
164,2/23/2023,7:13:18 PM,259
165,2/23/2023,7:13:19 PM,259
166,2/23/2023,7:13:20 PM,259
167,2/23/2023,7:13:21 PM,259
168,2/23/2023,7:13:22 PM,257
169,2/23/2023,7:13:23 PM,257
170,2/23/2023,7:13:24 PM,257
171,2/23/2023,7:13:25 PM,257
172,2/23/2023,7:13:26 PM,257
173,2/23/2023,7:13:27 PM,255
174,2/23/2023,7:13:28 PM,255
175,2/23/2023,7:13:29 PM,255
176,2/23/2023,7:13:30 PM,253
177,2/23/2023,7:13:31 PM,253
178,2/23/2023,7:13:32 PM,253
179,2/23/2023,7:13:33 PM,253
180,2/23/2023,7:13:34 PM,252
181,2/23/2023,7:13:35 PM,250
182,2/23/2023,7:13:36 PM,250
183,2/23/2023,7:13:37 PM,250
184,2/23/2023,7:13:38 PM,250
185,2/23/2023,7:13:39 PM,250
186,2/23/2023,7:13:40 PM,248
187,2/23/2023,7:13:41 PM,248
188,2/23/2023,7:13:42 PM,248
189,2/23/2023,7:13:43 PM,248
190,2/23/2023,7:13:44 PM,247
191,2/23/2023,7:13:45 PM,246
192,2/23/2023,7:13:46 PM,245
193,2/23/2023,7:13:47 PM,245
194,2/23/2023,7:13:48 PM,245
195,2/23/2023,7:13:49 PM,243
196,2/23/2023,7:13:50 PM,243
197,2/23/2023,7:13:51 PM,243
198,2/23/2023,7:13:52 PM,243
199,2/23/2023,7:13:53 PM,241
200,2/23/2023,7:13:54 PM,241
201,2/23/2023,7:13:55 PM,241
202,2/23/2023,7:13:56 PM,241
203,2/23/2023,7:13:57 PM,239
204,2/23/2023,7:13:58 PM,239
205,2/23/2023,7:13:59 PM,239
206,2/23/2023,7:14:00 PM,239
207,2/23/2023,7:14:01 PM,239
208,2/23/2023,7:14:02 PM,238
209,2/23/2023,7:14:03 PM,238
210,2/23/2023,7:14:04 PM,238
211,2/23/2023,7:14:05 PM,236
212,2/23/2023,7:14:06 PM,236
213,2/23/2023,7:14:07 PM,236
214,2/23/2023,7:14:08 PM,236
215,2/23/2023,7:14:09 PM,233
216,2/23/2023,7:14:10 PM,233
217,2/23/2023,7:14:11 PM,233
218,2/23/2023,7:14:12 PM,233
219,2/23/2023,7:14:13 PM,233
220,2/23/2023,7:14:14 PM,233
221,2/23/2023,7:14:15 PM,231
222,2/23/2023,7:14:16 PM,231
223,2/23/2023,7:14:17 PM,231
224,2/23/2023,7:14:18 PM,231
225,2/23/2023,7:14:19 PM,229
226,2/23/2023,7:14:20 PM,229
227,2/23/2023,7:14:21 PM,229
228,2/23/2023,7:14:22 PM,229
229,2/23/2023,7:14:23 PM,229
230,2/23/2023,7:14:24 PM,227
231,2/23/2023,7:14:25 PM,227
232,2/23/2023,7:14:26 PM,227
233,2/23/2023,7:14:27 PM,227
234,2/23/2023,7:14:28 PM,226
235,2/23/2023,7:14:29 PM,226
236,2/23/2023,7:14:30 PM,226
237,2/23/2023,7:14:31 PM,224
238,2/23/2023,7:14:32 PM,224
239,2/23/2023,7:14:33 PM,224
240,2/23/2023,7:14:34 PM,224
241,2/23/2023,7:14:35 PM,224
242,2/23/2023,7:14:36 PM,222
243,2/23/2023,7:14:37 PM,222
244,2/23/2023,7:14:38 PM,222
245,2/23/2023,7:14:39 PM,222
246,2/23/2023,7:14:40 PM,220
247,2/23/2023,7:14:41 PM,220
248,2/23/2023,7:14:42 PM,220
249,2/23/2023,7:14:43 PM,220
250,2/23/2023,7:14:44 PM,220
251,2/23/2023,7:14:45 PM,219
252,2/23/2023,7:14:46 PM,219
253,2/23/2023,7:14:47 PM,218
254,2/23/2023,7:14:48 PM,218
255,2/23/2023,7:14:49 PM,218
256,2/23/2023,7:14:50 PM,217
257,2/23/2023,7:14:51 PM,216
258,2/23/2023,7:14:52 PM,216
259,2/23/2023,7:14:53 PM,216
260,2/23/2023,7:14:54 PM,216
261,2/23/2023,7:14:55 PM,215
262,2/23/2023,7:14:56 PM,215
263,2/23/2023,7:14:57 PM,213
264,2/23/2023,7:14:58 PM,213
265,2/23/2023,7:14:59 PM,213
266,2/23/2023,7:15:00 PM,213
267,2/23/2023,7:15:01 PM,213
268,2/23/2023,7:15:02 PM,213
269,2/23/2023,7:15:03 PM,211
270,2/23/2023,7:15:04 PM,211
271,2/23/2023,7:15:05 PM,211
272,2/23/2023,7:15:06 PM,211
273,2/23/2023,7:15:07 PM,211
274,2/23/2023,7:15:08 PM,211
275,2/23/2023,7:15:09 PM,209
276,2/23/2023,7:15:10 PM,209
277,2/23/2023,7:15:11 PM,209
278,2/23/2023,7:15:12 PM,209
279,2/23/2023,7:15:13 PM,209
280,2/23/2023,7:15:14 PM,208
281,2/23/2023,7:15:15 PM,207
282,2/23/2023,7:15:16 PM,207
283,2/23/2023,7:15:17 PM,207
284,2/23/2023,7:15:18 PM,206
285,2/23/2023,7:15:19 PM,206
286,2/23/2023,7:15:20 PM,206
287,2/23/2023,7:15:21 PM,206
288,2/23/2023,7:15:22 PM,206
289,2/23/2023,7:15:23 PM,206
290,2/23/2023,7:15:24 PM,204
291,2/23/2023,7:15:25 PM,204
292,2/23/2023,7:15:26 PM,204
293,2/23/2023,7:15:27 PM,203
294,2/23/2023,7:15:28 PM,203
295,2/23/2023,7:15:29 PM,203
296,2/23/2023,7:15:30 PM,203
297,2/23/2023,7:15:31 PM,203
298,2/23/2023,7:15:32 PM,201
299,2/23/2023,7:15:33 PM,201
300,2/23/2023,7:15:34 PM,201
301,2/23/2023,7:15:35 PM,201
302,2/23/2023,7:15:36 PM,201
303,2/23/2023,7:15:37 PM,201
304,2/23/2023,7:15:38 PM,199
305,2/23/2023,7:15:39 PM,199
306,2/23/2023,7:15:40 PM,199
307,2/23/2023,7:15:41 PM,199
308,2/23/2023,7:15:42 PM,199
309,2/23/2023,7:15:43 PM,199
310,2/23/2023,7:15:44 PM,197
311,2/23/2023,7:15:45 PM,197
312,2/23/2023,7:15:46 PM,197
313,2/23/2023,7:15:47 PM,197
314,2/23/2023,7:15:48 PM,196
315,2/23/2023,7:15:49 PM,196
316,2/23/2023,7:15:50 PM,196
317,2/23/2023,7:15:51 PM,196
318,2/23/2023,7:15:52 PM,196
319,2/23/2023,7:15:53 PM,194
320,2/23/2023,7:15:54 PM,194
321,2/23/2023,7:15:55 PM,194
322,2/23/2023,7:15:56 PM,194
323,2/23/2023,7:15:57 PM,194
324,2/23/2023,7:15:58 PM,194
325,2/23/2023,7:15:59 PM,193
326,2/23/2023,7:16:00 PM,193
327,2/23/2023,7:16:01 PM,193
328,2/23/2023,7:16:02 PM,191
329,2/23/2023,7:16:03 PM,191
330,2/23/2023,7:16:04 PM,191
331,2/23/2023,7:16:05 PM,191
332,2/23/2023,7:16:06 PM,191
333,2/23/2023,7:16:07 PM,191
334,2/23/2023,7:16:08 PM,191
335,2/23/2023,7:16:09 PM,190
336,2/23/2023,7:16:10 PM,190
337,2/23/2023,7:16:11 PM,188
338,2/23/2023,7:16:12 PM,188
339,2/23/2023,7:16:13 PM,188
340,2/23/2023,7:16:14 PM,188
341,2/23/2023,7:16:15 PM,188
342,2/23/2023,7:16:16 PM,188
