Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,celsius 
121,2/23/2023,6:24:23 PM,552,288.8888889
122,2/23/2023,6:24:24 PM,551,288.3333333
123,2/23/2023,6:24:25 PM,548,286.6666667
124,2/23/2023,6:24:26 PM,548,286.6666667
125,2/23/2023,6:24:27 PM,544,284.4444444
126,2/23/2023,6:24:28 PM,544,284.4444444
127,2/23/2023,6:24:29 PM,544,284.4444444
128,2/23/2023,6:24:30 PM,540,282.2222222
129,2/23/2023,6:24:31 PM,540,282.2222222
130,2/23/2023,6:24:32 PM,540,282.2222222
131,2/23/2023,6:24:33 PM,539,281.6666667
132,2/23/2023,6:24:34 PM,536,280
133,2/23/2023,6:24:35 PM,536,280
134,2/23/2023,6:24:36 PM,532,277.7777778
135,2/23/2023,6:24:37 PM,532,277.7777778
136,2/23/2023,6:24:38 PM,532,277.7777778
137,2/23/2023,6:24:39 PM,531,277.2222222
138,2/23/2023,6:24:40 PM,528,275.5555556
139,2/23/2023,6:24:41 PM,528,275.5555556
140,2/23/2023,6:24:42 PM,528,275.5555556
141,2/23/2023,6:24:43 PM,524,273.3333333
142,2/23/2023,6:24:44 PM,524,273.3333333
143,2/23/2023,6:24:45 PM,524,273.3333333
144,2/23/2023,6:24:46 PM,520,271.1111111
145,2/23/2023,6:24:47 PM,520,271.1111111
146,2/23/2023,6:24:48 PM,520,271.1111111
147,2/23/2023,6:24:49 PM,519,270.5555556
148,2/23/2023,6:24:50 PM,516,268.8888889
149,2/23/2023,6:24:51 PM,516,268.8888889
150,2/23/2023,6:24:52 PM,516,268.8888889
151,2/23/2023,6:24:53 PM,515,268.3333333
152,2/23/2023,6:24:54 PM,512,266.6666667
153,2/23/2023,6:24:55 PM,512,266.6666667
154,2/23/2023,6:24:56 PM,511,266.1111111
155,2/23/2023,6:24:57 PM,508,264.4444444
156,2/23/2023,6:24:58 PM,508,264.4444444
157,2/23/2023,6:24:59 PM,508,264.4444444
158,2/23/2023,6:25:00 PM,507,263.8888889
159,2/23/2023,6:25:01 PM,504,262.2222222
