Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,6:54:52 PM,377
1,2/23/2023,6:54:53 PM,376
2,2/23/2023,6:54:54 PM,374
3,2/23/2023,6:54:55 PM,372
4,2/23/2023,6:54:56 PM,368
5,2/23/2023,6:54:57 PM,367
6,2/23/2023,6:54:58 PM,367
7,2/23/2023,6:54:59 PM,364
8,2/23/2023,6:55:00 PM,364
9,2/23/2023,6:55:01 PM,361
10,2/23/2023,6:55:02 PM,360
11,2/23/2023,6:55:03 PM,358
12,2/23/2023,6:55:04 PM,358
13,2/23/2023,6:55:05 PM,355
14,2/23/2023,6:55:06 PM,352
15,2/23/2023,6:55:07 PM,352
16,2/23/2023,6:55:08 PM,349
17,2/23/2023,6:55:09 PM,349
18,2/23/2023,6:55:10 PM,347
19,2/23/2023,6:55:11 PM,345
20,2/23/2023,6:55:12 PM,345
21,2/23/2023,6:55:13 PM,343
22,2/23/2023,6:55:14 PM,341
23,2/23/2023,6:55:15 PM,339
24,2/23/2023,6:55:16 PM,337
25,2/23/2023,6:55:17 PM,337
26,2/23/2023,6:55:18 PM,335
27,2/23/2023,6:55:19 PM,333
28,2/23/2023,6:55:20 PM,333
29,2/23/2023,6:55:21 PM,333
30,2/23/2023,6:55:22 PM,330
31,2/23/2023,6:55:23 PM,330
32,2/23/2023,6:55:24 PM,328
33,2/23/2023,6:55:25 PM,326
34,2/23/2023,6:55:26 PM,324
35,2/23/2023,6:55:27 PM,324
36,2/23/2023,6:55:28 PM,324
37,2/23/2023,6:55:29 PM,321
38,2/23/2023,6:55:30 PM,321
39,2/23/2023,6:55:31 PM,321
40,2/23/2023,6:55:32 PM,318
41,2/23/2023,6:55:33 PM,318
42,2/23/2023,6:55:34 PM,316
43,2/23/2023,6:55:35 PM,315
44,2/23/2023,6:55:36 PM,315
45,2/23/2023,6:55:37 PM,311
46,2/23/2023,6:55:38 PM,311
47,2/23/2023,6:55:39 PM,311
48,2/23/2023,6:55:40 PM,309
49,2/23/2023,6:55:41 PM,309
50,2/23/2023,6:55:42 PM,307
51,2/23/2023,6:55:43 PM,307
52,2/23/2023,6:55:44 PM,306
53,2/23/2023,6:55:45 PM,303
