Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,Celsius 
0,2/23/2023,7:14:28 PM,815,435
1,2/23/2023,7:14:29 PM,815,435
2,2/23/2023,7:14:30 PM,806,430
3,2/23/2023,7:14:31 PM,801,427.2222222
4,2/23/2023,7:14:32 PM,797,425
5,2/23/2023,7:14:33 PM,793,422.7777778
6,2/23/2023,7:14:34 PM,789,420.5555556
7,2/23/2023,7:14:35 PM,785,418.3333333
8,2/23/2023,7:14:36 PM,781,416.1111111
9,2/23/2023,7:14:37 PM,777,413.8888889
10,2/23/2023,7:14:38 PM,770,410
11,2/23/2023,7:14:39 PM,766,407.7777778
12,2/23/2023,7:14:40 PM,763,406.1111111
13,2/23/2023,7:14:41 PM,760,404.4444444
14,2/23/2023,7:14:42 PM,756,402.2222222
15,2/23/2023,7:14:43 PM,753,400.5555556
16,2/23/2023,7:14:44 PM,749,398.3333333
17,2/23/2023,7:14:45 PM,749,398.3333333
18,2/23/2023,7:14:46 PM,744,395.5555556
19,2/23/2023,7:14:47 PM,740,393.3333333
20,2/23/2023,7:14:48 PM,737,391.6666667
21,2/23/2023,7:14:49 PM,731,388.3333333
22,2/23/2023,7:14:50 PM,731,388.3333333
23,2/23/2023,7:14:51 PM,726,385.5555556
24,2/23/2023,7:14:52 PM,723,383.8888889
25,2/23/2023,7:14:53 PM,720,382.2222222
26,2/23/2023,7:14:54 PM,717,380.5555556
27,2/23/2023,7:14:55 PM,714,378.8888889
28,2/23/2023,7:14:56 PM,714,378.8888889
29,2/23/2023,7:14:57 PM,708,375.5555556
30,2/23/2023,7:14:58 PM,704,373.3333333
31,2/23/2023,7:14:59 PM,701,371.6666667
32,2/23/2023,7:15:00 PM,701,371.6666667
33,2/23/2023,7:15:01 PM,696,368.8888889
34,2/23/2023,7:15:02 PM,693,367.2222222
35,2/23/2023,7:15:03 PM,693,367.2222222
36,2/23/2023,7:15:04 PM,688,364.4444444
37,2/23/2023,7:15:05 PM,688,364.4444444
38,2/23/2023,7:15:06 PM,684,362.2222222
39,2/23/2023,7:15:07 PM,681,360.5555556
40,2/23/2023,7:15:08 PM,677,358.3333333
41,2/23/2023,7:15:09 PM,674,356.6666667
42,2/23/2023,7:15:10 PM,674,356.6666667
43,2/23/2023,7:15:11 PM,670,354.4444444
44,2/23/2023,7:15:12 PM,667,352.7777778
45,2/23/2023,7:15:13 PM,667,352.7777778
46,2/23/2023,7:15:14 PM,663,350.5555556
47,2/23/2023,7:15:15 PM,663,350.5555556
48,2/23/2023,7:15:16 PM,659,348.3333333
49,2/23/2023,7:15:17 PM,655,346.1111111
50,2/23/2023,7:15:18 PM,655,346.1111111
51,2/23/2023,7:15:19 PM,651,343.8888889
52,2/23/2023,7:15:20 PM,651,343.8888889
53,2/23/2023,7:15:21 PM,647,341.6666667
54,2/23/2023,7:15:22 PM,647,341.6666667
55,2/23/2023,7:15:23 PM,643,339.4444444
56,2/23/2023,7:15:24 PM,640,337.7777778
57,2/23/2023,7:15:25 PM,640,337.7777778
58,2/23/2023,7:15:26 PM,640,337.7777778
