Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,7:05:53 PM,445
1,2/23/2023,7:05:54 PM,442
2,2/23/2023,7:05:55 PM,439
3,2/23/2023,7:05:56 PM,437
4,2/23/2023,7:05:57 PM,434
5,2/23/2023,7:05:58 PM,432
6,2/23/2023,7:05:59 PM,429
7,2/23/2023,7:06:00 PM,426
8,2/23/2023,7:06:01 PM,423
9,2/23/2023,7:06:02 PM,421
10,2/23/2023,7:06:03 PM,419
11,2/23/2023,7:06:04 PM,417
12,2/23/2023,7:06:05 PM,415
13,2/23/2023,7:06:06 PM,413
14,2/23/2023,7:06:07 PM,411
15,2/23/2023,7:06:08 PM,409
16,2/23/2023,7:06:09 PM,407
17,2/23/2023,7:06:10 PM,403
18,2/23/2023,7:06:11 PM,401
19,2/23/2023,7:06:12 PM,399
20,2/23/2023,7:06:13 PM,398
21,2/23/2023,7:06:14 PM,396
22,2/23/2023,7:06:15 PM,394
23,2/23/2023,7:06:16 PM,393
24,2/23/2023,7:06:17 PM,391
25,2/23/2023,7:06:18 PM,388
26,2/23/2023,7:06:19 PM,386
27,2/23/2023,7:06:20 PM,384
28,2/23/2023,7:06:21 PM,383
29,2/23/2023,7:06:22 PM,381
30,2/23/2023,7:06:23 PM,381
31,2/23/2023,7:06:24 PM,378
32,2/23/2023,7:06:25 PM,377
33,2/23/2023,7:06:26 PM,377
34,2/23/2023,7:06:27 PM,374
35,2/23/2023,7:06:28 PM,372
36,2/23/2023,7:06:29 PM,369
37,2/23/2023,7:06:30 PM,368
38,2/23/2023,7:06:31 PM,366
39,2/23/2023,7:06:32 PM,366
40,2/23/2023,7:06:33 PM,364
41,2/23/2023,7:06:34 PM,362
42,2/23/2023,7:06:35 PM,362
43,2/23/2023,7:06:36 PM,360
44,2/23/2023,7:06:37 PM,358
45,2/23/2023,7:06:38 PM,358
46,2/23/2023,7:06:39 PM,355
47,2/23/2023,7:06:40 PM,353
48,2/23/2023,7:06:41 PM,352
49,2/23/2023,7:06:42 PM,352
50,2/23/2023,7:06:43 PM,349
51,2/23/2023,7:06:44 PM,349
52,2/23/2023,7:06:45 PM,347
53,2/23/2023,7:06:46 PM,346
54,2/23/2023,7:06:47 PM,345
55,2/23/2023,7:06:48 PM,343
56,2/23/2023,7:06:49 PM,341
57,2/23/2023,7:06:50 PM,341
58,2/23/2023,7:06:51 PM,339
59,2/23/2023,7:06:52 PM,337
60,2/23/2023,7:06:53 PM,337
