Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,6:49:13 PM,429
1,2/23/2023,6:49:14 PM,427
2,2/23/2023,6:49:15 PM,425
3,2/23/2023,6:49:16 PM,423
4,2/23/2023,6:49:17 PM,421
5,2/23/2023,6:49:18 PM,419
6,2/23/2023,6:49:19 PM,417
7,2/23/2023,6:49:20 PM,416
8,2/23/2023,6:49:21 PM,413
9,2/23/2023,6:49:22 PM,409
10,2/23/2023,6:49:23 PM,407
11,2/23/2023,6:49:24 PM,406
12,2/23/2023,6:49:25 PM,405
13,2/23/2023,6:49:26 PM,402
14,2/23/2023,6:49:27 PM,401
15,2/23/2023,6:49:28 PM,398
16,2/23/2023,6:49:29 PM,398
17,2/23/2023,6:49:30 PM,396
18,2/23/2023,6:49:31 PM,393
19,2/23/2023,6:49:32 PM,391
20,2/23/2023,6:49:33 PM,389
21,2/23/2023,6:49:34 PM,389
22,2/23/2023,6:49:35 PM,386
23,2/23/2023,6:49:36 PM,384
24,2/23/2023,6:49:37 PM,384
25,2/23/2023,6:49:38 PM,382
26,2/23/2023,6:49:39 PM,380
27,2/23/2023,6:49:40 PM,380
28,2/23/2023,6:49:41 PM,376
29,2/23/2023,6:49:42 PM,375
30,2/23/2023,6:49:43 PM,373
31,2/23/2023,6:49:44 PM,373
32,2/23/2023,6:49:45 PM,371
33,2/23/2023,6:49:46 PM,369
34,2/23/2023,6:49:47 PM,369
35,2/23/2023,6:49:48 PM,366
36,2/23/2023,6:49:49 PM,366
37,2/23/2023,6:49:50 PM,364
38,2/23/2023,6:49:51 PM,362
39,2/23/2023,6:49:52 PM,360
40,2/23/2023,6:49:53 PM,360
41,2/23/2023,6:49:54 PM,358
42,2/23/2023,6:49:55 PM,356
43,2/23/2023,6:49:56 PM,356
44,2/23/2023,6:49:57 PM,354
45,2/23/2023,6:49:58 PM,354
46,2/23/2023,6:49:59 PM,352
47,2/23/2023,6:50:00 PM,352
48,2/23/2023,6:50:01 PM,349
49,2/23/2023,6:50:02 PM,347
50,2/23/2023,6:50:03 PM,347
51,2/23/2023,6:50:04 PM,347
52,2/23/2023,6:50:05 PM,344
53,2/23/2023,6:50:06 PM,342
54,2/23/2023,6:50:07 PM,342
55,2/23/2023,6:50:08 PM,340
56,2/23/2023,6:50:09 PM,340
57,2/23/2023,6:50:10 PM,340
58,2/23/2023,6:50:11 PM,337
59,2/23/2023,6:50:12 PM,337
60,2/23/2023,6:50:13 PM,334
61,2/23/2023,6:50:14 PM,334
62,2/23/2023,6:50:15 PM,334
63,2/23/2023,6:50:16 PM,331
64,2/23/2023,6:50:17 PM,331
65,2/23/2023,6:50:18 PM,329
66,2/23/2023,6:50:19 PM,329
67,2/23/2023,6:50:20 PM,329
68,2/23/2023,6:50:21 PM,327
69,2/23/2023,6:50:22 PM,324
70,2/23/2023,6:50:23 PM,324
71,2/23/2023,6:50:24 PM,322
72,2/23/2023,6:50:25 PM,322
73,2/23/2023,6:50:26 PM,322
74,2/23/2023,6:50:27 PM,320
75,2/23/2023,6:50:28 PM,320
76,2/23/2023,6:50:29 PM,318
77,2/23/2023,6:50:30 PM,318
78,2/23/2023,6:50:31 PM,316
79,2/23/2023,6:50:32 PM,315
80,2/23/2023,6:50:33 PM,313
81,2/23/2023,6:50:34 PM,313
82,2/23/2023,6:50:35 PM,313
83,2/23/2023,6:50:36 PM,311
84,2/23/2023,6:50:37 PM,311
85,2/23/2023,6:50:38 PM,311
86,2/23/2023,6:50:39 PM,309
87,2/23/2023,6:50:40 PM,307
88,2/23/2023,6:50:41 PM,307
89,2/23/2023,6:50:42 PM,307
90,2/23/2023,6:50:43 PM,304
91,2/23/2023,6:50:44 PM,304
92,2/23/2023,6:50:45 PM,304
93,2/23/2023,6:50:46 PM,302
94,2/23/2023,6:50:47 PM,302
95,2/23/2023,6:50:48 PM,302
96,2/23/2023,6:50:49 PM,300
97,2/23/2023,6:50:50 PM,300
98,2/23/2023,6:50:51 PM,298
99,2/23/2023,6:50:52 PM,298
100,2/23/2023,6:50:53 PM,296
101,2/23/2023,6:50:54 PM,296
102,2/23/2023,6:50:55 PM,295
103,2/23/2023,6:50:56 PM,295
104,2/23/2023,6:50:57 PM,293
105,2/23/2023,6:50:58 PM,293
106,2/23/2023,6:50:59 PM,291
107,2/23/2023,6:51:00 PM,291
108,2/23/2023,6:51:01 PM,291
109,2/23/2023,6:51:02 PM,289
110,2/23/2023,6:51:03 PM,289
111,2/23/2023,6:51:04 PM,289
112,2/23/2023,6:51:05 PM,287
113,2/23/2023,6:51:06 PM,287
114,2/23/2023,6:51:07 PM,286
115,2/23/2023,6:51:08 PM,284
116,2/23/2023,6:51:09 PM,284
117,2/23/2023,6:51:10 PM,282
118,2/23/2023,6:51:11 PM,282
119,2/23/2023,6:51:12 PM,282
120,2/23/2023,6:51:13 PM,282
121,2/23/2023,6:51:14 PM,280
122,2/23/2023,6:51:15 PM,280
123,2/23/2023,6:51:16 PM,280
124,2/23/2023,6:51:17 PM,278
125,2/23/2023,6:51:18 PM,278
126,2/23/2023,6:51:19 PM,278
127,2/23/2023,6:51:20 PM,276
128,2/23/2023,6:51:21 PM,275
129,2/23/2023,6:51:22 PM,275
130,2/23/2023,6:51:23 PM,273
131,2/23/2023,6:51:24 PM,273
132,2/23/2023,6:51:25 PM,273
133,2/23/2023,6:51:26 PM,273
134,2/23/2023,6:51:27 PM,271
135,2/23/2023,6:51:28 PM,270
136,2/23/2023,6:51:29 PM,270
137,2/23/2023,6:51:30 PM,268
138,2/23/2023,6:51:31 PM,268
139,2/23/2023,6:51:32 PM,268
140,2/23/2023,6:51:33 PM,268
141,2/23/2023,6:51:34 PM,266
142,2/23/2023,6:51:35 PM,266
143,2/23/2023,6:51:36 PM,266
144,2/23/2023,6:51:37 PM,264
