Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,7:43:10 PM,501
1,2/23/2023,7:43:11 PM,497
2,2/23/2023,7:43:12 PM,494
3,2/23/2023,7:43:13 PM,491
4,2/23/2023,7:43:14 PM,485
5,2/23/2023,7:43:15 PM,485
6,2/23/2023,7:43:16 PM,479
7,2/23/2023,7:43:17 PM,477
8,2/23/2023,7:43:18 PM,474
9,2/23/2023,7:43:19 PM,471
10,2/23/2023,7:43:20 PM,469
11,2/23/2023,7:43:21 PM,466
12,2/23/2023,7:43:22 PM,464
13,2/23/2023,7:43:23 PM,462
14,2/23/2023,7:43:24 PM,457
15,2/23/2023,7:43:25 PM,455
16,2/23/2023,7:43:26 PM,452
17,2/23/2023,7:43:27 PM,450
18,2/23/2023,7:43:28 PM,448
19,2/23/2023,7:43:29 PM,446
20,2/23/2023,7:43:30 PM,443
21,2/23/2023,7:43:31 PM,441
22,2/23/2023,7:43:32 PM,439
23,2/23/2023,7:43:33 PM,437
24,2/23/2023,7:43:34 PM,433
25,2/23/2023,7:43:35 PM,432
26,2/23/2023,7:43:36 PM,429
27,2/23/2023,7:43:37 PM,428
28,2/23/2023,7:43:38 PM,426
29,2/23/2023,7:43:39 PM,424
30,2/23/2023,7:43:40 PM,422
31,2/23/2023,7:43:41 PM,421
32,2/23/2023,7:43:42 PM,418
33,2/23/2023,7:43:43 PM,418
34,2/23/2023,7:43:44 PM,415
35,2/23/2023,7:43:45 PM,412
36,2/23/2023,7:43:46 PM,409
37,2/23/2023,7:43:47 PM,409
38,2/23/2023,7:43:48 PM,407
39,2/23/2023,7:43:49 PM,405
40,2/23/2023,7:43:50 PM,403
41,2/23/2023,7:43:51 PM,403
42,2/23/2023,7:43:52 PM,400
43,2/23/2023,7:43:53 PM,400
44,2/23/2023,7:43:54 PM,397
45,2/23/2023,7:43:55 PM,395
46,2/23/2023,7:43:56 PM,392
47,2/23/2023,7:43:57 PM,392
48,2/23/2023,7:43:58 PM,390
49,2/23/2023,7:43:59 PM,388
50,2/23/2023,7:44:00 PM,388
51,2/23/2023,7:44:01 PM,386
52,2/23/2023,7:44:02 PM,384
53,2/23/2023,7:44:03 PM,382
54,2/23/2023,7:44:04 PM,382
55,2/23/2023,7:44:05 PM,379
56,2/23/2023,7:44:06 PM,379
57,2/23/2023,7:44:07 PM,376
58,2/23/2023,7:44:08 PM,376
59,2/23/2023,7:44:09 PM,373
60,2/23/2023,7:44:10 PM,373
61,2/23/2023,7:44:11 PM,371
62,2/23/2023,7:44:12 PM,371
63,2/23/2023,7:44:13 PM,368
64,2/23/2023,7:44:14 PM,368
65,2/23/2023,7:44:15 PM,366
66,2/23/2023,7:44:16 PM,363
67,2/23/2023,7:44:17 PM,363
68,2/23/2023,7:44:18 PM,361
69,2/23/2023,7:44:19 PM,361
70,2/23/2023,7:44:20 PM,358
71,2/23/2023,7:44:21 PM,358
72,2/23/2023,7:44:22 PM,356
73,2/23/2023,7:44:23 PM,354
74,2/23/2023,7:44:24 PM,354
75,2/23/2023,7:44:25 PM,352
76,2/23/2023,7:44:26 PM,352
77,2/23/2023,7:44:27 PM,351
78,2/23/2023,7:44:28 PM,349
79,2/23/2023,7:44:29 PM,349
80,2/23/2023,7:44:30 PM,347
81,2/23/2023,7:44:31 PM,347
82,2/23/2023,7:44:32 PM,344
83,2/23/2023,7:44:33 PM,342
84,2/23/2023,7:44:34 PM,342
85,2/23/2023,7:44:35 PM,342
86,2/23/2023,7:44:36 PM,339
87,2/23/2023,7:44:37 PM,339
88,2/23/2023,7:44:38 PM,337
89,2/23/2023,7:44:39 PM,337
90,2/23/2023,7:44:40 PM,337
91,2/23/2023,7:44:41 PM,334
92,2/23/2023,7:44:42 PM,332
93,2/23/2023,7:44:43 PM,332
94,2/23/2023,7:44:44 PM,332
95,2/23/2023,7:44:45 PM,330
96,2/23/2023,7:44:46 PM,328
97,2/23/2023,7:44:47 PM,328
98,2/23/2023,7:44:48 PM,328
99,2/23/2023,7:44:49 PM,326
100,2/23/2023,7:44:50 PM,326
101,2/23/2023,7:44:51 PM,325
102,2/23/2023,7:44:52 PM,323
103,2/23/2023,7:44:53 PM,323
104,2/23/2023,7:44:54 PM,321
105,2/23/2023,7:44:55 PM,321
106,2/23/2023,7:44:56 PM,320
107,2/23/2023,7:44:57 PM,318
108,2/23/2023,7:44:58 PM,318
109,2/23/2023,7:44:59 PM,318
110,2/23/2023,7:45:00 PM,315
111,2/23/2023,7:45:01 PM,315
112,2/23/2023,7:45:02 PM,313
113,2/23/2023,7:45:03 PM,313
114,2/23/2023,7:45:04 PM,313
115,2/23/2023,7:45:05 PM,311
116,2/23/2023,7:45:06 PM,310
117,2/23/2023,7:45:07 PM,308
118,2/23/2023,7:45:08 PM,308
119,2/23/2023,7:45:09 PM,308
120,2/23/2023,7:45:10 PM,306
121,2/23/2023,7:45:11 PM,306
122,2/23/2023,7:45:12 PM,304
123,2/23/2023,7:45:13 PM,304
124,2/23/2023,7:45:14 PM,304
125,2/23/2023,7:45:15 PM,302
126,2/23/2023,7:45:16 PM,302
127,2/23/2023,7:45:17 PM,301
128,2/23/2023,7:45:18 PM,299
129,2/23/2023,7:45:19 PM,299
130,2/23/2023,7:45:20 PM,299
131,2/23/2023,7:45:21 PM,297
132,2/23/2023,7:45:22 PM,297
133,2/23/2023,7:45:23 PM,295
134,2/23/2023,7:45:24 PM,295
135,2/23/2023,7:45:25 PM,295
136,2/23/2023,7:45:26 PM,295
137,2/23/2023,7:45:27 PM,292
138,2/23/2023,7:45:28 PM,292
139,2/23/2023,7:45:29 PM,292
140,2/23/2023,7:45:30 PM,290
141,2/23/2023,7:45:31 PM,290
142,2/23/2023,7:45:32 PM,288
143,2/23/2023,7:45:33 PM,288
144,2/23/2023,7:45:34 PM,288
145,2/23/2023,7:45:35 PM,286
146,2/23/2023,7:45:36 PM,286
147,2/23/2023,7:45:37 PM,285
148,2/23/2023,7:45:38 PM,285
149,2/23/2023,7:45:39 PM,283
150,2/23/2023,7:45:40 PM,283
151,2/23/2023,7:45:41 PM,281
152,2/23/2023,7:45:42 PM,281
153,2/23/2023,7:45:43 PM,281
154,2/23/2023,7:45:44 PM,281
155,2/23/2023,7:45:45 PM,279
156,2/23/2023,7:45:46 PM,279
157,2/23/2023,7:45:47 PM,279
158,2/23/2023,7:45:48 PM,277
159,2/23/2023,7:45:49 PM,277
160,2/23/2023,7:45:50 PM,277
161,2/23/2023,7:45:51 PM,274
162,2/23/2023,7:45:52 PM,274
163,2/23/2023,7:45:53 PM,274
164,2/23/2023,7:45:54 PM,274
165,2/23/2023,7:45:55 PM,272
166,2/23/2023,7:45:56 PM,272
167,2/23/2023,7:45:57 PM,272
168,2/23/2023,7:45:58 PM,272
169,2/23/2023,7:45:59 PM,269
170,2/23/2023,7:46:00 PM,269
171,2/23/2023,7:46:01 PM,269
172,2/23/2023,7:46:02 PM,269
173,2/23/2023,7:46:03 PM,269
174,2/23/2023,7:46:04 PM,269
175,2/23/2023,7:46:05 PM,267
176,2/23/2023,7:46:06 PM,267
177,2/23/2023,7:46:07 PM,267
178,2/23/2023,7:46:08 PM,267
179,2/23/2023,7:46:09 PM,267
180,2/23/2023,7:46:10 PM,267
181,2/23/2023,7:46:11 PM,267
182,2/23/2023,7:46:12 PM,267
183,2/23/2023,7:46:13 PM,268
184,2/23/2023,7:46:14 PM,268
185,2/23/2023,7:46:15 PM,269
186,2/23/2023,7:46:16 PM,270
187,2/23/2023,7:46:17 PM,270
188,2/23/2023,7:46:18 PM,270
189,2/23/2023,7:46:19 PM,270
190,2/23/2023,7:46:20 PM,272
191,2/23/2023,7:46:21 PM,272
192,2/23/2023,7:46:22 PM,272
193,2/23/2023,7:46:23 PM,272
194,2/23/2023,7:46:24 PM,272
195,2/23/2023,7:46:25 PM,272
196,2/23/2023,7:46:26 PM,272
197,2/23/2023,7:46:27 PM,272
198,2/23/2023,7:46:28 PM,272
199,2/23/2023,7:46:29 PM,272
200,2/23/2023,7:46:30 PM,272
201,2/23/2023,7:46:31 PM,272
202,2/23/2023,7:46:32 PM,272
203,2/23/2023,7:46:33 PM,272
204,2/23/2023,7:46:34 PM,272
205,2/23/2023,7:46:35 PM,272
206,2/23/2023,7:46:36 PM,272
207,2/23/2023,7:46:37 PM,272
208,2/23/2023,7:46:38 PM,272
209,2/23/2023,7:46:39 PM,272
210,2/23/2023,7:46:40 PM,272
211,2/23/2023,7:46:41 PM,272
212,2/23/2023,7:46:42 PM,272
213,2/23/2023,7:46:43 PM,272
214,2/23/2023,7:46:44 PM,272
215,2/23/2023,7:46:45 PM,272
216,2/23/2023,7:46:46 PM,272
217,2/23/2023,7:46:47 PM,272
218,2/23/2023,7:46:48 PM,272
219,2/23/2023,7:46:49 PM,272
220,2/23/2023,7:46:50 PM,273
221,2/23/2023,7:46:51 PM,273
222,2/23/2023,7:46:52 PM,273
223,2/23/2023,7:46:53 PM,273
224,2/23/2023,7:46:54 PM,273
225,2/23/2023,7:46:55 PM,273
226,2/23/2023,7:46:56 PM,273
227,2/23/2023,7:46:57 PM,273
228,2/23/2023,7:46:58 PM,273
229,2/23/2023,7:46:59 PM,273
230,2/23/2023,7:47:00 PM,273
231,2/23/2023,7:47:01 PM,273
232,2/23/2023,7:47:02 PM,273
233,2/23/2023,7:47:03 PM,273
234,2/23/2023,7:47:04 PM,273
235,2/23/2023,7:47:05 PM,273
236,2/23/2023,7:47:06 PM,273
237,2/23/2023,7:47:07 PM,273
238,2/23/2023,7:47:08 PM,273
239,2/23/2023,7:47:09 PM,273
240,2/23/2023,7:47:10 PM,273
241,2/23/2023,7:47:11 PM,273
242,2/23/2023,7:47:12 PM,273
243,2/23/2023,7:47:13 PM,273
244,2/23/2023,7:47:14 PM,273
245,2/23/2023,7:47:15 PM,273
246,2/23/2023,7:47:16 PM,273
247,2/23/2023,7:47:17 PM,273
248,2/23/2023,7:47:18 PM,273
249,2/23/2023,7:47:19 PM,273
250,2/23/2023,7:47:20 PM,273
251,2/23/2023,7:47:21 PM,273
252,2/23/2023,7:47:22 PM,273
253,2/23/2023,7:47:23 PM,273
254,2/23/2023,7:47:24 PM,273
255,2/23/2023,7:47:25 PM,273
256,2/23/2023,7:47:26 PM,273
257,2/23/2023,7:47:27 PM,273
258,2/23/2023,7:47:28 PM,273
259,2/23/2023,7:47:29 PM,273
260,2/23/2023,7:47:30 PM,273
261,2/23/2023,7:47:31 PM,273
262,2/23/2023,7:47:32 PM,273
263,2/23/2023,7:47:33 PM,273
264,2/23/2023,7:47:34 PM,273
265,2/23/2023,7:47:35 PM,273
266,2/23/2023,7:47:36 PM,273
267,2/23/2023,7:47:37 PM,273
268,2/23/2023,7:47:38 PM,273
269,2/23/2023,7:47:39 PM,273
270,2/23/2023,7:47:40 PM,273
271,2/23/2023,7:47:41 PM,273
272,2/23/2023,7:47:42 PM,273
273,2/23/2023,7:47:43 PM,273
274,2/23/2023,7:47:44 PM,273
275,2/23/2023,7:47:45 PM,273
276,2/23/2023,7:47:46 PM,273
277,2/23/2023,7:47:47 PM,273
278,2/23/2023,7:47:48 PM,273
279,2/23/2023,7:47:49 PM,273
280,2/23/2023,7:47:50 PM,273
281,2/23/2023,7:47:51 PM,273
282,2/23/2023,7:47:52 PM,273
283,2/23/2023,7:47:53 PM,273
