Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,6:30:04 PM,404
1,2/23/2023,6:30:05 PM,404
2,2/23/2023,6:30:06 PM,396
3,2/23/2023,6:30:07 PM,394
4,2/23/2023,6:30:08 PM,392
5,2/23/2023,6:30:09 PM,390
6,2/23/2023,6:30:10 PM,388
7,2/23/2023,6:30:11 PM,386
8,2/23/2023,6:30:12 PM,384
9,2/23/2023,6:30:13 PM,382
10,2/23/2023,6:30:14 PM,381
11,2/23/2023,6:30:15 PM,378
12,2/23/2023,6:30:16 PM,375
13,2/23/2023,6:30:17 PM,373
14,2/23/2023,6:30:18 PM,373
15,2/23/2023,6:30:19 PM,370
16,2/23/2023,6:30:20 PM,368
17,2/23/2023,6:30:21 PM,367
18,2/23/2023,6:30:22 PM,367
19,2/23/2023,6:30:23 PM,363
20,2/23/2023,6:30:24 PM,363
21,2/23/2023,6:30:25 PM,360
22,2/23/2023,6:30:26 PM,358
23,2/23/2023,6:30:27 PM,356
24,2/23/2023,6:30:28 PM,356
25,2/23/2023,6:30:29 PM,354
26,2/23/2023,6:30:30 PM,352
27,2/23/2023,6:30:31 PM,352
28,2/23/2023,6:30:32 PM,349
29,2/23/2023,6:30:33 PM,348
30,2/23/2023,6:30:34 PM,348
31,2/23/2023,6:30:35 PM,345
32,2/23/2023,6:30:36 PM,343
33,2/23/2023,6:30:37 PM,343
34,2/23/2023,6:30:38 PM,341
35,2/23/2023,6:30:39 PM,340
36,2/23/2023,6:30:40 PM,338
37,2/23/2023,6:30:41 PM,338
38,2/23/2023,6:30:42 PM,336
39,2/23/2023,6:30:43 PM,335
40,2/23/2023,6:30:44 PM,333
41,2/23/2023,6:30:45 PM,331
42,2/23/2023,6:30:46 PM,331
43,2/23/2023,6:30:47 PM,330
44,2/23/2023,6:30:48 PM,328
45,2/23/2023,6:30:49 PM,328
46,2/23/2023,6:30:50 PM,325
47,2/23/2023,6:30:51 PM,325
48,2/23/2023,6:30:52 PM,325
49,2/23/2023,6:30:53 PM,322
50,2/23/2023,6:30:54 PM,322
51,2/23/2023,6:30:55 PM,320
52,2/23/2023,6:30:56 PM,320
53,2/23/2023,6:30:57 PM,317
54,2/23/2023,6:30:58 PM,317
55,2/23/2023,6:30:59 PM,316
56,2/23/2023,6:31:00 PM,314
57,2/23/2023,6:31:01 PM,314
58,2/23/2023,6:31:02 PM,312
59,2/23/2023,6:31:03 PM,312
60,2/23/2023,6:31:04 PM,312
61,2/23/2023,6:31:05 PM,309
62,2/23/2023,6:31:06 PM,309
63,2/23/2023,6:31:07 PM,306
64,2/23/2023,6:31:08 PM,306
65,2/23/2023,6:31:09 PM,306
66,2/23/2023,6:31:10 PM,304
67,2/23/2023,6:31:11 PM,304
68,2/23/2023,6:31:12 PM,302
69,2/23/2023,6:31:13 PM,302
70,2/23/2023,6:31:14 PM,301
71,2/23/2023,6:31:15 PM,299
72,2/23/2023,6:31:16 PM,297
73,2/23/2023,6:31:17 PM,297
74,2/23/2023,6:31:18 PM,297
75,2/23/2023,6:31:19 PM,295
76,2/23/2023,6:31:20 PM,295
77,2/23/2023,6:31:21 PM,295
78,2/23/2023,6:31:22 PM,292
79,2/23/2023,6:31:23 PM,292
80,2/23/2023,6:31:24 PM,290
81,2/23/2023,6:31:25 PM,290
82,2/23/2023,6:31:26 PM,290
83,2/23/2023,6:31:27 PM,287
