Test : Rate 1,"2.54000",mm/min
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(kN)
"18.40000","0.77917","3.05468"
"18.50000","0.78320","3.05476"
"18.60000","0.78742","3.05610"
"18.70000","0.79182","3.05823"
"18.80000","0.79604","3.05744"
"18.90000","0.80007","3.05868"
"19.00000","0.80438","3.06149"
"19.10000","0.80878","3.06108"
"19.20000","0.81281","3.06158"
"19.30000","0.81712","3.06463"
"19.40000","0.82143","3.06455"
"19.50000","0.82555","3.06415"
"19.60000","0.82968","3.06597"
"19.70000","0.83408","3.06783"
"19.80000","0.83830","3.06791"
"19.90000","0.84233","3.06876"
"20.00000","0.84664","3.07148"
"20.10000","0.85114","3.07117"
"20.20000","0.85507","3.07091"
"20.30000","0.85938","3.07390"
"20.40000","0.86379","3.07526"
"20.50000","0.86791","3.07382"
"20.60000","0.87203","3.07551"
"20.70000","0.87653","3.07769"
"20.80000","0.88065","3.07692"
"20.90000","0.88478","3.07750"
"21.00000","0.88909","3.08093"
"21.10000","0.89340","3.08069"
"21.20000","0.89752","3.08091"
"21.30000","0.90174","3.08328"
"21.40000","0.90614","3.08398"
"21.50000","0.91027","3.08366"
"21.60000","0.91439","3.08612"
"21.70000","0.91879","3.08733"
"21.80000","0.92301","3.08723"
"21.90000","0.92704","3.08793"
"22.00000","0.93144","3.09069"
"22.10000","0.93575","3.09051"
"22.20000","0.93978","3.09020"
"22.30000","0.94409","3.09293"
"22.40000","0.94850","3.09400"
"22.50000","0.95262","3.09316"
"22.60000","0.95674","3.09447"
"22.70000","0.96115","3.09683"
"22.80000","0.96537","3.09613"
"22.90000","0.96939","3.09688"
"23.00000","0.97371","3.09940"
"23.10000","0.97811","3.09963"
"23.20000","0.98223","3.09972"
"23.30000","0.98645","3.10198"
"23.40000","0.99076","3.10358"
"23.50000","0.99488","3.10220"
"23.60000","0.99901","3.10392"
"23.70000","1.00350","3.10574"
"23.80000","1.00772","3.10525"
"23.90000","1.01175","3.10612"
"24.00000","1.01606","3.10896"
"24.10000","1.02046","3.10905"
"24.20000","1.02440","3.10885"
"24.30000","1.02871","3.11083"
"24.40000","1.03311","3.11201"
"24.50000","1.03724","3.11142"
"24.60000","1.04136","3.11269"
"24.70000","1.04577","3.11454"
"24.80000","1.04998","3.11371"
"24.90000","1.05411","3.11495"
"25.00000","1.05842","3.11734"
"25.10000","1.06282","3.11727"
"25.20000","1.06685","3.11759"
"25.30000","1.07107","3.11931"
"25.40000","1.07547","3.12042"
"25.50000","1.07950","3.11987"
"25.60000","1.08372","3.12185"
"25.70000","1.08812","3.12360"
"25.80000","1.09234","3.12286"
"25.90000","1.09637","3.12345"
"26.00000","1.10077","3.12614"
"26.10000","1.10508","3.12646"
"26.20000","1.10920","3.12610"
"26.30000","1.11333","3.12854"
"26.40000","1.11783","3.12940"
"26.50000","1.12186","3.12842"
"26.60000","1.12607","3.12994"
"26.70000","1.13048","3.13229"
"26.80000","1.13469","3.13103"
"26.90000","1.13882","3.13171"
"27.00000","1.14313","3.13412"
"27.10000","1.14744","3.13522"
"27.20000","1.15147","3.13491"
"27.30000","1.15568","3.13694"
"27.40000","1.16009","3.13768"
"27.50000","1.16421","3.13722"
"27.60000","1.16833","3.13864"
"27.70000","1.17283","3.14081"
"27.80000","1.17695","3.13964"
"27.90000","1.18108","3.14014"
"28.00000","1.18539","3.14284"
"28.10000","1.18979","3.14303"
"28.20000","1.19382","3.14265"
"28.30000","1.19804","3.14526"
"28.40000","1.20244","3.14633"
"28.50000","1.20666","3.14579"
"28.60000","1.21069","3.14654"
"28.70000","1.21509","3.14826"
"28.80000","1.21931","3.14777"
"28.90000","1.22343","3.14858"
"29.00000","1.22774","3.15072"
"29.10000","1.23205","3.15069"
"29.20000","1.23618","3.15041"
"29.30000","1.24039","3.15294"
"29.40000","1.24480","3.15357"
"29.50000","1.24892","3.15339"
"29.60000","1.25304","3.15394"
"29.70000","1.25735","3.15670"
"29.80000","1.26176","3.15584"
"29.90000","1.26579","3.15625"
"30.00000","1.27010","3.15838"
"30.10000","1.27450","3.15867"
"30.20000","1.27853","3.15832"
"30.30000","1.28266","3.16003"
"30.40000","1.28706","3.16213"
"30.50000","1.29128","3.16115"
