Test : Rate 1,"2.54000",mm/min
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(kN)
"18.40000","0.77908","4.37533"
"18.50000","0.78320","4.37494"
"18.60000","0.78732","4.37702"
"18.70000","0.79182","4.38000"
"18.80000","0.79594","4.37912"
"18.90000","0.79997","4.38011"
"19.00000","0.80438","4.38373"
"19.10000","0.80869","4.38419"
"19.20000","0.81272","4.38337"
"19.30000","0.81703","4.38654"
"19.40000","0.82153","4.38864"
"19.50000","0.82555","4.38701"
"19.60000","0.82968","4.38889"
"19.70000","0.83408","4.39204"
"19.80000","0.83839","4.39119"
"19.90000","0.84242","4.39140"
"20.00000","0.84673","4.39511"
"20.10000","0.85104","4.39588"
"20.20000","0.85517","4.39492"
"20.30000","0.85938","4.39738"
"20.40000","0.86379","4.39929"
"20.50000","0.86782","4.39802"
"20.60000","0.87203","4.39951"
"20.70000","0.87644","4.40300"
"20.80000","0.88075","4.40230"
"20.90000","0.88468","4.40196"
"21.00000","0.88899","4.40532"
"21.10000","0.89340","4.40665"
"21.20000","0.89743","4.40557"
"21.30000","0.90164","4.40767"
"21.40000","0.90614","4.40996"
"21.50000","0.91036","4.40883"
"21.60000","0.91439","4.40925"
"21.70000","0.91870","4.41276"
"21.80000","0.92310","4.41230"
"21.90000","0.92704","4.41182"
"22.00000","0.93135","4.41467"
"22.10000","0.93575","4.41572"
"22.20000","0.93988","4.41496"
"22.30000","0.94400","4.41664"
"22.40000","0.94840","4.41931"
"22.50000","0.95262","4.41815"
"22.60000","0.95665","4.41851"
"22.70000","0.96105","4.42172"
"22.80000","0.96537","4.42154"
"22.90000","0.96939","4.42113"
"23.00000","0.97361","4.42379"
"23.10000","0.97811","4.42540"
"23.20000","0.98214","4.42411"
"23.30000","0.98636","4.42528"
"23.40000","0.99067","4.42854"
"23.50000","0.99507","4.42750"
"23.60000","0.99901","4.42663"
"23.70000","1.00332","4.42994"
"23.80000","1.00772","4.43058"
"23.90000","1.01175","4.42932"
"24.00000","1.01597","4.43170"
"24.10000","1.02037","4.43387"
"24.20000","1.02459","4.43250"
"24.30000","1.02862","4.43352"
"24.40000","1.03302","4.43649"
"24.50000","1.03733","4.43555"
"24.60000","1.04136","4.43509"
"24.70000","1.04567","4.43797"
"24.80000","1.05008","4.43890"
"24.90000","1.05420","4.43743"
"25.00000","1.05832","4.43908"
"25.10000","1.06273","4.44144"
"25.20000","1.06694","4.44057"
"25.30000","1.07097","4.44050"
"25.40000","1.07538","4.44368"
"25.50000","1.07969","4.44393"
"25.60000","1.08372","4.44263"
"25.70000","1.08803","4.44535"
"25.80000","1.09234","4.44683"
"25.90000","1.09646","4.44510"
"26.00000","1.10058","4.44630"
"26.10000","1.10499","4.44926"
"26.20000","1.10930","4.44808"
"26.30000","1.11333","4.44824"
"26.40000","1.11764","4.45124"
"26.50000","1.12195","4.45128"
"26.60000","1.12607","4.45008"
"26.70000","1.13020","4.45211"
"26.80000","1.13469","4.45394"
"26.90000","1.13882","4.45270"
"27.00000","1.14294","4.45317"
"27.10000","1.14734","4.45681"
"27.20000","1.15156","4.45492"
"27.30000","1.15578","4.45453"
"27.40000","1.15999","4.45778"
"27.50000","1.16440","4.45848"
"27.60000","1.16843","4.45658"
"27.70000","1.17264","4.45876"
"27.80000","1.17705","4.46099"
"27.90000","1.18117","4.45891"
"28.00000","1.18529","4.46000"
"28.10000","1.18960","4.46335"
"28.20000","1.19392","4.46195"
"28.30000","1.19794","4.46117"
"28.40000","1.20226","4.46433"
